parish,county,from_year,to_year,comments,district,source_url
Altham,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Barley with Wheatley Booth,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Barrowford,Lancashire,1936,1974,"Abolished 1.4.1974 and added to the Pendle unparished 
    area. See also Table 
    2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Blacko,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Briercliffe,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Brierfield,Lancashire,1936,1974,"Abolished 1.4.1974 and added to the Pendle unparished 
    area. See also Table 
    2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Cliviger,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Colne,Lancashire,1936,1974,"Abolished 1.4.1974 and added to the Pendle unparished 
    area. See also Table 
    2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Dunnockshaw,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Foulridge,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Goldshaw Booth,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Habergham Eaves,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Hapton,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Higham with West Close Booth,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Ightenhill,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Nelson,Lancashire,1936,1974,"Abolished 1.4.1974 and added to the Pendle unparished 
    area. See also Table 
    2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Northtown,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Old Laund Booth,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Padiham,Lancashire,1936,1974,"Abolished 1.4.1974 and added to the Burnley unparished 
    area. See also Table 
    2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Read,Lancashire,1936,1974,"See Table 2, notes (a) and (c).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Reedley Hallows,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Roughlee Booth,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Sabden,Lancashire,1936,1974,"See Table 2, notes (a) and (c).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Simonstone,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Trawden,Lancashire,1936,1974,"Abolished 1.4.1974 and added to the Pendle unparished area. See also Table 
    2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
Worsthorne with Hurstwood,Lancashire,1936,1974,"See Table 2, notes (a) and (b).",Nelson (1936-1974),http://www.ukbmd.org.uk/reg/districts/nelson.html
