parish,county,from_year,to_year,comments,district,source_url
All Saints,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Benwell,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Byker,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Elswick,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Fenham,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Heaton,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Jesmond,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Moot Hall & Precincts,Northumberland,1894,1935,"Created 1894 from the rural part of the parish of St. Nicholas. 
    See also Table 2, note (b).",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Newcastle upon Tyne,Northumberland,1914,1974,"Created 1.4.1914 from the parishes of Elswick, Byker, Westgate, 
    Benwell, All Saints, Heaton, Jesmond, St. Andrew, St. Nicholas and Fenham. 
    Abolished 1.4.1974 and added to the Newcastle upon Tyne unparished area. See 
    also Table 2, notes (c) and (d).",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
St. Andrew,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne. See also Table 2, note (a).",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
St. John,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
St. Nicholas,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Walker,Northumberland,1936,1974,"Abolished 1.4.1974 and added to the Newcastle 
    upon Tyne unparished area. See also Table 2, note (d).",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
Westgate,Northumberland,1837,1914,"Abolished 1.4.1914 and added to the parish of Newcastle upon 
    Tyne.",Newcastle upon Tyne,http://www.ukbmd.org.uk/reg/districts/newcastle%20upon%20tyne.html
