parish,county,from_year,to_year,comments,district,source_url
Ashley,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Barnardiston,West Suffolk,1938,1974,"See Table 2, note (f).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Barton Mills,West Suffolk,1938,1974,"See Table 2, note (e).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Bottisham,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Brandon,West Suffolk,1938,1974,"See Table 2, note (h).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Brinkley,Cambridgeshire,1837,1935,"See Table 2, notes (a) and (c).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Burrough Green,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Burwell,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Cavendish,West Suffolk,1938,1974,"See Table 2, notes (g) and (i).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Cavenham,West Suffolk,1938,1974,"See Table 2, note (e).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Cheveley,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Chippenham,Cambridgeshire,1837,1935,"See Table 2, note (c).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
Clare,West Suffolk,1938,1974,"See Table 2, notes (g) and (f).",Newmarket (to 1938),http://www.ukbmd.org.uk/reg/districts/newmarket.html
