parish,county,from_year,to_year,comments,district,source_url
Adlestrop,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Aston Subedge,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Batsford,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Bledington,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Blockley,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Bourton on the Hill,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Bourton on the Water,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Broadwell,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Chipping Campden,Gloucestershire,1937,2006,"See Table 2, notes (a), (e) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Clapton,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Condicote,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Cutsdean,Gloucestershire,1937,2006,"See Table 2, notes (c) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Donnington,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Ebrington,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Evenlode,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Great Rissington,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Guiting Power,Gloucestershire,1937,2006,"See Table 2, notes (c) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Icomb,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Little Rissington,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Longborough,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Lower Slaughter,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Maugersbury,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Mickleton,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Moreton in Marsh,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Naunton,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Oddington,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Saintbury,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Sezincote,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Stow on the Wold,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Swell,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Temple Guiting,Gloucestershire,1937,2006,"See Table 2, notes (b), (c) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Todenham,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Upper Rissington,Gloucestershire,2000,2006,"Created 1.4.2000 out of the parish of Little Rissington. See 
    also Table 2, note (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Upper Slaughter,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Westcote,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Weston Subedge,Gloucestershire,1937,2006,"See Table 2, notes (a), (d), (e) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Willersey,Gloucestershire,1937,2006,"See Table 2, notes (a), (d) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
Wyck Rissington,Gloucestershire,1937,2006,"See Table 2, notes (a) and (f).",North Cotswold,http://www.ukbmd.org.uk/reg/districts/north%20cotswold.html
