parish,county,from_year,to_year,comments,district,source_url
Arlington,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Ashford,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Atherington,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Barnstaple,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Berrynarbor,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Bishop's Nympton,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Bishop's Tawton,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Bittadon,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Bratton Fleming,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Braunton,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Brayford,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Brendon,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Burrington,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Challacombe,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Chittlehamholt,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Chittlehampton,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Chulmleigh,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
Combe Martin,Devon,1998,2007,"See Table 2, notes (a) and (b).",North Devon,http://www.ukbmd.org.uk/reg/districts/north%20devon.html
