parish,county,from_year,to_year,comments,district,source_url
Blackwater & Hawley,Hampshire,1995,2008,"Created 1.3.1995 by renaming the parish of Hawley. See also 
    Table 2, note (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Bramshill,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Crondall,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Crookham Village,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Dogmersfield,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Eversley,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Greywell,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Hart*,Hampshire,1974,2008,"Unparished area created 17.11.1974 by renaming the Hartley Wintney unparished area. See also Table 2, note (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Hartley Wintney,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Hartley Wintney*,Hampshire,1974,1974,"Unparished area which until 1.4.1974 formed the parish of 
    Fleet. Renamed 17.11.1974 to become the Hart unparished area. See also Table 
    2, note (a).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Hawley,Hampshire,1974,1995,"Renamed 1.3.1995 to become the parish of Blackwater & Hawley. See 
    also Table 2, note (a).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Heckfield,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Hook,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Long Sutton,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Mattingley,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Odiham,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Rotherwick,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Rushmoor*,Hampshire,1974,2008,"Unparished area which until 1.4.1974 formed the parishes of Aldershot 
    and Farnborough. See also Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
South Warnborough,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Winchfield,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
Yateley,Hampshire,1974,2008,"See Table 2, notes (a) and (b).",North East Hampshire,http://www.ukbmd.org.uk/reg/districts/north%20east%20hampshire.html
