parish,county,from_year,to_year,comments,district,source_url
Alkborough,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Amcotts,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Appleby,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Ashby Parkland,Lincolnshire,2004,,Created 1.4.2004 out of the parish of Burringham.,North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Barnetby-le-Wold,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Barrow upon Humber,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Barton upon Humber,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Belton,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Bonby,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Bottesford,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Brigg,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Broughton,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Burringham,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Burton upon Stather,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Cadney,Lincolnshire,1996,,"See Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
Crowle,Lincolnshire,1996,2010,"Renamed 12.5.2010 to become the parish of Crowle & Ealand. See 
    also Table 2, note (a).",North Lincolnshire,http://www.ukbmd.org.uk/reg/districts/north%20lincolnshire.html
