parish,county,from_year,to_year,comments,district,source_url
Abbots Leigh,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Backwell,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Barrow Gurney,Somerset,1996,,"See Table 2, note (a).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Banwell,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Blagdon,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Bleadon,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Brockley,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Burrington,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Butcombe,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Churchill,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Clapton-in-Gordano,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Cleeve,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Clevedon,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Congresbury,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Dundry,Somerset,1996,,"See Table 2, note (a).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Easton-in-Gordano,Somerset,1996,2011,"Renamed 1.4.2011 to become the parish of Pill & 
    Easton-in-Gordano. See also Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Flax Bourton,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Hutton,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Kenn,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Kewstoke,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Kingston Seymour,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Locking,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Long Ashton,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Loxton,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Nailsea,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
North Somerset*,Somerset,1996,2000,"Unparished area of the town of Weston-super-Mare. Abolished 
    1.4.2000 to become the parish of Weston-super-Mare. See also Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Pill & Easton-in-Gordano,Somerset,2011,,Created 1.4.2011 by renaming the parish of Easton-in-Gordano.,North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Portbury,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Portishead,Somerset,2011,,"Created 1.4.2011 out of the parishes of Portbury and 
    Portishead & North Weston.",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Portishead & North Weston,Somerset,1996,2011,"Abolished 1.4.2011 and added to the parish of Portishead. See 
    also Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Puxton,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
St. George's,Somerset,2001,,Created 1.4.2001 out of the parish of Banwell.,North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Tickenham,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Walton-in-Gordano,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Weston-in-Gordano,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Weston-super-Mare,Somerset,2000,,Created 1.4.2000 from the North Somerset unparished area.,North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
Wick St. Lawrence,Somerset,1996,,"See Table 2, note (b).",North Somerset,http://www.ukbmd.org.uk/reg/districts/north%20somerset.html
