parish,county,from_year,to_year,comments,district,source_url
Adderstone,Northumberland,1937,1955,"Abolished 1.4.1955 and incorporated into the parish of Adderstone 
    with Lucker. See also Table 2, note (a).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Adderstone with Lucker,Northumberland,1955,2008,"Created 1.4.1955 out of the parishes of Adderstone, Newstead, 
    Lucker, Warenford, Bradford and Ratchwood. See also Table 2, note (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Akeld,Northumberland,1937,2008,"See Table 2, notes (c) and (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Ancroft,Northumberland,1937,2008,"See Table 2, notes (b) and (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Bamburgh,Northumberland,1937,2008,"See Table 2, notes (a) and (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Bamburgh Castle,Northumberland,1937,1955,"Abolished 1.4.1955 and incorporated into the parish of Bamburgh. 
    See also Table 2, note (a).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Beadnell,Northumberland,1937,2008,"See Table 2, notes (a) and (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Belford,Northumberland,1937,2008,"See Table 2, notes (a) and (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Berwick upon Tweed,Northumberland,1937,1974,"Abolished 1.4.1974 and added to the Berwick upon Tweed unparished area. See also Table 
    2, note (b).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Berwick upon Tweed*,Northumberland,1974,2008,"Unparished area which until 1.4.1974 formed the parishes of Berwick upon Tweed 
    and Tweedmouth. Abolished 1.4.2008 and divided between the parishes of 
    Berwick upon Tweed and Ord. See also Table 2, note (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Bewick,Northumberland,1955,2008,"Created 1.4.1955 from the parishes of Old Bewick and New Bewick. 
    See also Table 2, note (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Bowsden,Northumberland,1955,2008,"Created 1.4.1955 out of the parish of Lowick See also Table 2, 
    note (d).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Bradford,Northumberland,1937,1955,"Abolished 1.4.1955 and incorporated into the parish of Adderstone 
    with Lucker. See also Table 2, note (a).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
Brandon,Northumberland,1937,1955,"Abolished 1.4.1955 and incorporated into the parish of Ingram. 
    See also Table 2, note (c).",Northumberland North First,http://www.ukbmd.org.uk/reg/districts/northumberland%20north%20first.html
