parish,county,from_year,to_year,comments,district,source_url
Blyth,Northumberland,1936,1936,"See Table 2, notes (a) and (c).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Dinnington,Northumberland,1955,1974,"See Table 2, note (d).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
East Brunton,Northumberland,1937,1955,"Abolished 1.4.1955 and added to the parish of Hazlerigg. 
    See also Table 2, note (b).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Gosforth,Northumberland,1937,1974,"Abolished 1.4.1974 and added to the Newcastle upon Tyne unparished area. See also Table 
    2, notes (b) and (f).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Hazelrigg,Northumberland,1955,1974,"Created 1.4.1955 out of the parishes of East Brunton, West Brunton and Dinnington. See also Table 2, notes (d) and (f).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Longbenton,Northumberland,1936,1974,"See Table 2, notes (a) and (h).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Moot Hall & Precincts,Northumberland,1937,1974,"Abolished 1.4.1974 and added to the Newcastle upon Tyne 
    unparished area. See also Table 2, notes (b) and (f).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Newbiggin,Northumberland,1937,1955,"Abolished 1.4.1955 and added to the parish of Woolsington. 
    See also Table 2, note (b).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Newburn,Northumberland,1936,1974,"Abolished 1.4.1974 to become Newcastle upon Tyne unparished 
    area. See also Table 
    2, notes (b) and (f).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
North Gosforth,Northumberland,1937,1974,"See Table 2, notes (b) and (f).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Seaton Valley,Northumberland,1936,1974,"Abolished 1.4.1974 and added to the Blyth Valley and 
    North Tyneside unparished areas. See also Table 2, notes (a), (e), (g) and 
    (i).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Wallsend,Northumberland,1936,1974,"See Table 2, notes (a) and (h).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
West Brunton,Northumberland,1937,1955,"Abolished 1.4.1955 and divided between the parishes of Woolsington 
    and Hazlerigg. See also Table 2, note (b).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
Whitley & Monkseaton,Northumberland,1936,1974,"Abolished 1.4.1974 and added to the Blyth Valley and 
    North Tyneside unparished areas. See also Table 2, note (a), (g) and (i).",Northumberland South,http://www.ukbmd.org.uk/reg/districts/northumberland%20south.html
