parish,county,from_year,to_year,comments,district,source_url
Acton,Cheshire,1837,1967,Renamed 23.2.1967 to become the parish of Acton Bridge.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Acton Bridge,Cheshire,1967,1974,"Created 23.2.1967 by renaming the parish of Acton. See also Table 
    2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Allostock,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Anderton,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Barnton,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Birches,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Lach Dennis.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Bostock,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Bradwall,Cheshire,1936,1937,"That part which until 1.4.1936 formed a detached part of 
    the parish of Kinderton. See also Table 2, note (i).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Byley,Cheshire,1837,1974,"See Table 2, notes (h) and (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Castle Northwich,Cheshire,1837,1894,Abolished 29.9.1894 and added to the parish of Northwich.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Clive,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Winsford 
    and Stanthorne.",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Cogshall,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Comberbach.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Comberbach,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Crowton,Cheshire,1837,1974,"See Table 2, notes (b), (c) and (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Croxton,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Byley.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Cuddington,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Darnhall,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Davenham,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Delamere,Cheshire,1837,1974,"See Table 2, notes (g) and (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Dutton,Cheshire,1936,1937,"That part which until 1.4.1936 formed part of the parish of 
    Acton. See also Table 2, note (j).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Eaton,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Davenham, 
    Winsford and Hartford.",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Eddisbury,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Delamere.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Goostrey cum Barnshaw,Cheshire,1837,1867,"See Table 2, note (a).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Hartford,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Hulse,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Lach Dennis.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Kinderton,Cheshire,1894,1936,"Created 30.9.1894 from the rural parts of the parishes of Newton 
    and Kinderton cum Hulme. Abolished 1.4.1936 and divided between the parishes of Middlewich, Sproston, Bradwall, Tetton, Byley, Stanthorne and Wimboldsley. 
    See also Table 2, note (h).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Kinderton cum Hulme,Cheshire,1837,1894,"Abolished 30.9.1894 and divided between the parishes of Middlewich 
    and Kinderton.",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Lach Dennis,Cheshire,1837,1974,"See Table 2, notes (h) and (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Leftwich,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Davenham, 
    Hartford and Northwich.",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Little Budworth,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Little Leigh,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Lostock Gralam,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Low Oulton,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Little Budworth.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Marbury,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Marston,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Marton,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Middlewich,Cheshire,1837,1974,"See Table 2, notes (k) and (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Mooresbarrow with Parme,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Sproston.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Moulton,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Nether Peover,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Newhall,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Lach Dennis.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Newton,Cheshire,1837,1894,"Abolished 30.9.1894 and divided between the parishes of Middlewich 
    and Kinderton.",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Northwich,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Oakmere,Cheshire,1837,1974,"See Table 2, note (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Occlestone,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Wimboldsley.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Onston,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Crowton.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Over,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Winsford, 
    Darnhall, Marton and Davenham.",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Ravenscroft,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Byley.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Rudheath,Cheshire,1837,1974,"See Table 2, notes (d) and (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Rushton,Cheshire,1937,1974,"See Table 2, notes (g) and (l).",Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
Shipbrook,Cheshire,1837,1892,Abolished 25.3.1892 and added to the parish of Whatcroft.,Northwich,http://www.ukbmd.org.uk/reg/districts/northwich.html
