parish,county,from_year,to_year,comments,district,source_url
Cameley,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Chelwood,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Chew Magna,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Chew Stoke,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Chilcompton,Somerset,1936,1974,"See Table 2, notes (a), (d) and (f).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Clutton,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Compton Martin,Somerset,1936,1974,"See Table 2, notes (a), (e) and (f).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
East Harptree,Somerset,1936,1974,"See Table 2, notes (a), (e) and (f).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Farmborough,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Farrington Gurney,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
High Littleton,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Hinton Blewett,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Litton,Somerset,1936,1974,"See Table 2, notes (a) and (f.",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Nempnett Thrubwell,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Norton Malreward,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Norton Radstock,Somerset,1936,1974,"See Table 2, notes (a), (b) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Paulton,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Publow,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Stanton Drew,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Ston Easton,Somerset,1936,1974,"See Table 2, notes (a), (c) and (f).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Stowey,Somerset,1936,1949,"Abolished 1.4.1949 and added tot the parishes of Stowey Sutton 
    and Chew Magna. See also Table 2, note (a).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Stowey Sutton,Somerset,1949,1974,"Created 1.4.1949 out of the parishes of Stowey and Chew Magna. 
    See also Table 2, note (e)",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Timsbury,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
Ubley,Somerset,1936,1974,"See Table 2, notes (a) and (e).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
West Harptree,Somerset,1936,1974,"See Table 2, notes (a), (e) and (f).",Norton Radstock,http://www.ukbmd.org.uk/reg/districts/norton%20radstock.html
