parish,county,from_year,to_year,comments,district,source_url
Acle,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Aldeby,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Alderford,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
All Saints,Norfolk,1837,1890,Abolished 25.3.1890 and added to the parish of Norwich.,Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Alpington,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Ashby St. Mary,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Attlebridge,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Aylsham,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Barford,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Barnham Broom,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Bawburgh,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Bedingham,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Beeston St. Andrew,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Beighton,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
Belaugh,Norfolk,1991,2011,"See Table 2, notes (g) and (h).",Norwich,http://www.ukbmd.org.uk/reg/districts/norwich.html
