parish,county,from_year,to_year,comments,district,source_url
Ainstable,Cumberland,1837,1974,"See Table 2, note (d).",Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Berrier & Murrah,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Mungrisdale.,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Bowscale,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Mungrisdale.,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Castle Sowerby,Cumberland,1837,1974,"See Table 2, notes (a), (b), (c), (f) and (g).",Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Catterlen,Cumberland,1837,1974,,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Croglin,Cumberland,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Ainstable 
    and Cumrew. See also Table 2, note (c).",Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Culgaith,Cumberland,1837,1974,,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Cumrew,Cumbria,1934,1939,"That part which until 1.4.1934 formed part of the parish of 
    Croglin. See also Table 2, note (c).",Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Dacre,Cumberland,1837,1974,,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Dalston,Cumbria,1934,1939,"That part which until 1.4.1934 formed part of the parish of 
    Castle Sowerby. See also Table 2, note (c).",Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Edenhall,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Langwathby.,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Gamblesby,Cumberland,1837,1934,Abolished 1.4.1934 and added to the parish of Glassonby.,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Glassonby,Cumberland,1837,1974,,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
Great Salkeld,Cumberland,1837,1974,,Penrith,http://www.ukbmd.org.uk/reg/districts/penrith.html
