parish,county,from_year,to_year,comments,district,source_url
Barlavington,Sussex,1870,1889,"See Table 2, notes (a) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Bignor,Sussex,1870,1889,"See Table 2, notes (a), (i) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Billingshurst,Sussex,1837,1869,"See Table 2, note (e).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Burton,Sussex,1870,1889,"Abolished 1.4.1933 and divided between the parishes of Duncton, 
    Sutton and East Lavington. See also Table 2, notes (a) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Bury,Sussex,1870,1889,"See Table 2, notes (g) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Coates,Sussex,1870,1889,"Abolished 1.4.1933 and added to the parish of Fittleworth. 
    See also Table 2, note (a).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Duncton,Sussex,1870,1889,"See Table 2, notes (a) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
East Lavington,West Sussex,1934,1935,"That part which untill 1.4.1934 formed part of the parish of 
    Burton. See also Table 2, note (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Egdean,Sussex,1870,1889,"Abolished 1.4.1933 and added to the parish of Petworth. See 
    also Table 2, note (a).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Fittleworth,Sussex,1870,1889,"See Table 2, notes (a) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Kirdford,Sussex,1837,1889,"See Table 2, notes (f) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
North Chapel,Sussex,1870,1889,"See Table 2, notes (c) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Petworth,Sussex,1837,1889,"See Table 2, note (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Rudgwick,Sussex,1837,1869,"See Table 2, note (b).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Stopham,Sussex,1870,1889,"See Table 2, notes (d) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Sutton,Sussex,1870,1889,"See Table 2, notes (a) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
Wisborough Green,Sussex,1837,1889,"See Table 2, notes (h) and (j).",Petworth (to 1935),http://www.ukbmd.org.uk/reg/districts/petworth.html
