parish,county,from_year,to_year,comments,district,source_url
Bickleigh,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Brixton,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Charles,Devon,1837,1898,"Abolished 25.3.1898 and added to the parish of Plymouth. 
    See also Table 2, notes (a).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Cornwood,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Devonport,Devon,1937,1974,"Abolished 1.4.1974 and added to the Plymouth unparished 
    area. 
    See also Table 2, note (d).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
East Stonehouse,Devon,1937,1974,"Abolished 1.4.1974 and added to the Plymouth unparished 
    area. 
    See alsoTable 2, note (e).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Ermington,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Harford,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Holbeton,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Ivybridge,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Newton & Noss,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Plymouth,Devon,1898,1974,"Created 25.3.1898 from the parishes of Charles and St. Andrew. 
    Abolished 1.4.1974 and added to the Plymouth unparished area. See also Table 2, notes 
    (c), 
    (f), (g) and (h).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Plymouth*,Devon,1974,,"Unparished area which until 1.4.1974 formed the  parishes of Devonport, East Stonehouse and Plymouth.",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Shaugh Prior,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Sparkwell,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
St. Andrew,Devon,1837,1898,"Abolished 25.3.1898 and added to the parish of Plymouth. 
    See also Table 2, note (a).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Wembury,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
Yealmpton,Devon,1974,1998,"See Table 2, notes (i) and (j).",Plymouth,http://www.ukbmd.org.uk/reg/districts/plymouth.html
