parish,county,from_year,to_year,comments,district,source_url
Bickleigh,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Brixton,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Charles,Devon,1896,1896,"That part which until 9.11.1896 formed parts of the parishes 
    of Compton Gifford, Egg Buckland, Laira Green and Pennycross. See also Table 2, note (c).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Charles,Devon,1897,1898,"That part which until 9.11.1897 formed part of the parish of Plymstock. See 
    also Table 2, note (d).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Chelson Meadow,Devon,1837,1894,Abolished 1894 and added to the parish of Plympton St. Mary.,Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Compton Gifford,Devon,1837,1936,"See Table 2, notes (c) and (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Cornwood,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Devonport,Devon,1900,1901,"That part which until 9.11.1900 formed part of the parish of Weston Peverill. See 
    also Table 2, note (g).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Egg Buckland,Devon,1837,1936,"See Table 2, notes (c) and (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Ermington,Devon,1837,1936,"See Table 2, notes (a) and (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Harford,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Holbeton,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Ivybridge,Devon,1894,1936,"Created 1894 out of the parishes of Ermington, Ugborough, Cornwood and Harford. See also Table 2, notes (b) and (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Laira Green,Devon,1837,1896,"Abolished 9.11.1896 and divided between the parishes of Plymouth 
    and Plymstock. See also Table 2, note (c).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Newton & Noss,Devon,1935,1936,"Created 1.4.1935 out of the parishes of Newton Ferrers, Revelstoke and Holberton. See also Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Newton Ferrers,Devon,1837,1935,"Abolished 1.4.1935 and added to the parishe sof Newton & 
    Noss and Yealmpton.",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Pennycross,Devon,1837,1898,"Abolished 9.11.1898 and divided between the parishes of Devonport 
    and St. Budeaux. See also Table 2, notes (c) and (e).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Plympton St. Mary,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Plympton St. Maurice,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Plymstock,Devon,1837,1936,"See Table 2, notes (d) and (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Revelstoke,Devon,1837,1935,Abolished 1.4.1935 and added to the parish of Newton & Noss.,Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Shaugh Prior,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
St. Andrew,Devon,1896,1896,"That part which until 9.11.1896 formed parts of the parishes 
    of Compton Gifford, Egg Buckland, Laira Green and Pennycross. See also Table 2, note (c).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
St. Budeaux,Cornwall,1837,1844,"The part in Cornwall was transferred to Devon on 20.10.1844. See 
    also Table 2, notes (e), (f) and (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Tamerton Foliot,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Wembury,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Weston Peverell,Devon,1899,1935,"Created 1.10.1899 out of the parish of St. Budeaux. Abolished 
    1.4.1935 and divided between the parishes of St. Budeaux and Compton Gifford. 
    See also Table 2, note (g).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
Yealmpton,Devon,1837,1936,"See Table 2, note (h).",Plympton St Mary,http://www.ukbmd.org.uk/reg/districts/plympton%20st%20mary.html
