parish,county,from_year,to_year,comments,district,source_url
Ash,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Barton Blount,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Bearwardcote,Derbyshire,1937,1938,"See Table 2, notes (a) and (c).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Bretby,Derbyshire,1937,1974,"See Table 2, notes (a), (b) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Burnaston,Derbyshire,1937,1938,"See Table 2, notes (a) and (c).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Calldwell,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Calke,Derbyshire,1938,1974,"See Table 2, notes (b) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Castle Gresley,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Catton,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Church Broughton,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Church Gresley,Derbyshire,1937,1974,"Abolished 1.4.1974 and added to the South Derbyshire unparished area. See also Table 2, notes (a) and 
(d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Coton in the Elms,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Dalbury Lees,Derbyshire,1937,1938,"See Table 2, notes (a) and (c).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Drakelow,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Egginton,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Etwall,Derbyshire,1937,1938,"See Table 2, notes (a) and (c).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Findern,Derbyshire,1937,1938,"See Table 2, notes (a) and (c).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Foremark,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Foston & Scropton,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Hartshorne,Derbyshire,1938,1974,"See Table 2, notes (b) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Hatton,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Hilton,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Hoon,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Ingleby,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Linton,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Lullington,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Marston on Dove,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Mickleover,Derbyshire,1937,1938,"See Table 2, notes (a) and (c).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Netherseal,Derbyshire,1938,1974,"See Table 2, notes (b) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Newton Solney,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Osleton & Thurvaston,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Overseal,Derbyshire,1938,1974,"See Table 2, notes (b) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Radbourne,Derbyshire,1937,1938,"See Table 2, notes (a) and (c).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Repton,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Rosliston,Derbyshire,1937,1974,"See Table 2, notes (a) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Smisby,Derbyshire,1938,1974,"See Table 2, notes (b) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
Stanton & Newhall,Derbyshire,1937,1974,"Abolished 1.4.1974 and added to the South Derbyshire unparished area. See also Table 2, notes (a), 
(b) and (d).",Repton (1937-1974),http://www.ukbmd.org.uk/reg/districts/repton.html
