parish,county,from_year,to_year,comments,district,source_url
Aldbrough,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Appleton East & West,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Arkengarthdale,Yorkshire North Riding,1837,1840,"See Table 2, note (a).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Arkengarthdale,Yorkshire North Riding,1936,1974,"See Table 2, note (c).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Aske,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Barforth,Yorkshire North Riding,1936,1974,"See Table 2, notes (d) and (e).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Barningham,Yorkshire North Riding,1936,1974,"See Table 2, notes (d) and (e).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Boldron,Yorkshire North Riding,1936,1974,"See Table 2, notes (d) and (e).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Bolton on Swale,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Bowes,Yorkshire North Riding,1936,1974,"See Table 2, notes (d) and (e).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Brignall,Yorkshire North Riding,1936,1974,"See Table 2, notes (d) and (e).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Brompton on Swale,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Brough with St. Giles,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Caldwell,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Catterick,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Colburn,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Cotherstone,Yorkshire North Riding,1936,1974,"See Table 2, notes (d) and (e).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Dalton,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Downholme,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Easby,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
East Layton,Yorkshire North Riding,1837,1974,,Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Egglestone Abbey,Yorkshire North Riding,1936,1974,"See Table 2, notes (d) and (e).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Ellerton Abbey,Yorkshire North Riding,1837,1840,"See Table 2, note (a).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
Ellerton Abbey,Yorkshire North Riding,1936,1974,"See Table 2, note (c).",Richmond Yk,http://www.ukbmd.org.uk/reg/districts/richmond2.html
