parish,county,from_year,to_year,comments,district,source_url
Aismunderby with Bondgate,Yorkshire West Riding,1837,1894,Abolished 1894 and divided between the parishes of Ripon and Littlethorpe.,Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Aldfield,Yorkshire West Riding,1837,1946,"See Table 2, note (i).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Asenby,Yorkshire North Riding,1837,1936,"See Table 2, note (h).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Azerley,Yorkshire West Riding,1837,1946,"See Table 2, note (i).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Baldersby,Yorkshire North Riding,1837,1936,"See Table 2, note (h).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Bishop Monkton,Yorkshire West Riding,1837,1946,"See Table 2, note (i).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Bishop Thornton,Yorkshire West Riding,1837,1854,"See Table 2, note (b).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Bishopton,Yorkshire West Riding,1837,1900,"Abolished 9.11.1900 and divided between the parishes of Ripon and 
    Clotherholme.",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Bridge Hewick,Yorkshire West Riding,1837,1946,"See Table 2, note (i).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Burton Leonard,Yorkshire West Riding,1837,1854,"See Table 2, note (d).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Burneston,Yorkshire North Riding,1837,1839,"See Table 2, note (a).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Clotherholme,Yorkshire West Riding,1837,1946,"See Table 2, note (i).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Copt Hewick,Yorkshire West Riding,1837,1946,"See Table 2, note (i).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Cundall with Leckby,Yorkshire North Riding,1837,1936,"See Table 2, note (h).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
Dishforth,Yorkshire North Riding,1837,1936,"See Table 2, note (h).",Ripon,http://www.ukbmd.org.uk/reg/districts/ripon.html
