parish,county,from_year,to_year,comments,district,source_url
Ashwell,Leicestershire,1974,1995,"See Table 2, notes (b) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Ayston,Leicestershire,1974,1995,"See Table 2, notes (c) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Barleythorpe,Leicestershire,1974,1995,"See Table 2, notes (b) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Barrow,Leicestershire,1974,1995,"See Table 2, notes (b) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Barrowden,Leicestershire,1974,1995,"See Table 2, notes (c) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Beaumont Chase,Leicestershire,1974,1995,"See Table 2, notes (c) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Belton,Leicestershire,1974,1981,"Renamed 21.12.1981 to become the parish of Belton in Rutland. 
    See also Table 2, note (c).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Belton in Rutland,Leicestershire,1981,1995,"Created 21.12.1981 by renaming the parish of Belton. See also 
    Table 2, note (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Bisbrooke,Leicestershire,1974,1995,"See Table 2, notes (c) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Braunston,Leicestershire,1974,1987,"Renamed 26.10.1987 to become the parish of 
    Braunston in Rutland. See also Table 2, note (b).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Braunston in Rutland,Leicestershire,1987,1995,"Created 26.10.1987 to become the parish of Braunston. See also Table 2, note (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Brooke,Leicestershire,1974,1995,"See Table 2, notes (b) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Burley,Leicestershire,1974,1995,"See Table 2, notes (b) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Caldecott,Leicestershire,1974,1995,"See Table 2, notes (c) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Clipsham,Leicestershire,1974,1995,"See Table 2, notes (a) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Cottesmore,Leicestershire,1974,1995,"See Table 2, notes (b) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Edith Weston,Leicestershire,1974,1995,"See Table 2, notes (b) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
Egleton,Leicestershire,1974,1995,"See Table 2, notes (b) and (d).",Rutland (1974-1995),http://www.ukbmd.org.uk/reg/districts/rutland.html
