parish,county,from_year,to_year,comments,district,source_url
Ashcott,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Axbridge,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Badgworth,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Bawdrip,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Berrow,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Brean,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Brent Knoll,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Bridgwater,Somerset,2003,2007,"Created 1.4.2003 from the Segdemoor unparished area. See also 
    Table 2, note (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Bridgwater Without,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Broomfield,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Burnham on Sea & Highbridge,Somerset,1974,2007,"Created 1.4.1974 by renaming the parish of Burnham on Sea. See 
    also Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Burnham Without,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Burrowbridge,Somerset,1985,2007,"Created 1.4.1985 out of the parishes of Middlezoy, Othery and 
    Stoke St. Gregory. See also Table 2, note (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Burtle,Somerset,1981,2007,"Created 1.4.1981 out of the parishes of Chilton Polden, Edington 
    and Catcott. See also Table 2, note (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Cannington,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Catcott,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Chapel Allerton,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Charlinch,Somerset,1974,2007,"Abolished 1.4.1981 and added to the parish of Spaxton. See 
    also Table 2, note (a).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Cheddar,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Chedzoy,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Chilton Polden,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Chilton Trinity,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Compton Bishop,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Cossington,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Durleigh,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
East Brent,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
East Huntspill,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Edington,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Enmore,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Fiddington,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Goathurst,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Greinton,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Lympsham,Somerset,1974,2007,"See Table 2, notes (b), (d) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Lyng,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Mark,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Middlezoy,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Moorlinch,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Nether Stowey,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
North Petherton,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Othery,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Otterhampton,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Over Stowey,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Pawlett,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Puriton,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Sedgemoor*,Somerset,1974,2003,"Unparished area which until 1.4.1974 formed the parish of Bridgwater. 
    Abolished 1.4.2003 to become the parish of Bridgwater. See also Table 2, note (a).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Shapwick,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Shipham,Somerset,1974,2007,"See Table 2, notes (b), (d) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Spaxton,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Stawell,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Stockland Bristol,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Thurloxton,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Weare,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Wedmore,Somerset,1974,2007,"See Table 2, notes (b) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Wembdon,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
West Huntspill,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Westonzoyland,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
Woolavington,Somerset,1974,2007,"See Table 2, notes (a) and (e).",Sedgemoor,http://www.ukbmd.org.uk/reg/districts/sedgemoor.html
