parish,county,from_year,to_year,comments,district,source_url
Barlby,Yorkshire East Riding,1837,1937,"See Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Barlow,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Biggin,Yorkshire West Riding,1856,1946,"See Table 2, notes (a) and (f).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Brayton,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Burn,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Camblesforth,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Carlton,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Cawood,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Chapel Haddlesey,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Cliffe,Yorkshire East Riding,1935,1937,"Created 1.4.1935 out of the parishes of Cliffe cum Lund and South 
    Duffield. See also Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Cliffe cum Lund,Yorkshire East Riding,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Cliffe and 
    Hemingbrough. See also Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Drax,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Gateforth,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Hambleton,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Hemingbrough,Yorkshire East Riding,1935,1937,"That part which until 1.4.1935 formed part of the parish of 
    Cliffe cum Lund. See also Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Hirst Courtney,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Kelfield,Yorkshire East Riding,1837,1937,"See Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Little Fenton,Yorkshire West Riding,1856,1946,"See Table 2, notes (a) and (f).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Long Drax,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Newland,Yorkshire West Riding,1837,1974,"See Table 2, note (c).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
North Duffield,Yorkshire East Riding,1837,1937,"See Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Osgodby,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Barlby.,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Riccall,Yorkshire East Riding,1837,1937,"See Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Ryther cum Ossendyke,Yorkshire West Riding,1837,1869,"See Table 2, note (b).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Selby,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Skipwith,Yorkshire East Riding,1837,1937,"See Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
South Duffield,Yorkshire East Riding,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Cliffe and 
    Wressle. See also Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Stamford Bridge,Yorkshire East Riding,1935,1937,"That part which until 1.4.1935 formed part of the parish of 
    South Duffield. See also Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Temple Hirst,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Thorpe Willoughby,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
West Haddlesey,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Wistow,Yorkshire West Riding,1837,1974,,Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
Wressle,Yorkshire East Riding,1935,1937,"That part which until 1.4.1935 formed part of the parish of 
    South Duffield. See also Table 2, note (d).",Selby,http://www.ukbmd.org.uk/reg/districts/selby.html
