parish,county,from_year,to_year,comments,district,source_url
Ashmanhaugh,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Bacton,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Barton Turf,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Beeston St. Lawrence,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Ashmanhaugh. 
    See also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Bradfield,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Swafield. See 
    also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Brumstead,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Catfield,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Crostwright,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Honing. See 
    also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Dilham,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
East Ruston,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Edingthorpe,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Bacton. See 
    also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Felmingham,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Happisburgh,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Hempstead with Eccles,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Lessingham. 
    See also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Hickling,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Honing,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Horning,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Horsey,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Hoveton,Norfolk,1935,1938,"Created 1.4.1935 out of the parishes of Hoveton St. John and Hoveton 
    St. Peter. See also Table 2, note (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Hoveton St. John,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Hoveton. See 
    also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Hoveton St. Peter,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Hoveton. See 
    also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Ingham,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Irstead,Norfolk,1870,1935,Abolished 1.4.1935 and added to the parish of Barton Turf.,Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Lessingham,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Ludham,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Neatishead,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
North Walsham,Norfolk,1884,1938,"See Table 2, notes (b) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Palling,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Paston,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Potter Heigham,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Ridlington,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Witton. See 
    also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Sco' Ruston,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Tunstead. See 
    also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Sloley,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Smallburgh,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Stalham,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Sutton,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Swafield,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Tunstead,Norfolk,1870,1938,"See Table 2, notes (a) and (c).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
Walcott,Norfolk,1870,1935,"Abolished 1.4.1935 and added to the parish of Happisburgh. 
    See also Table 2, note (a).",Smallburgh,http://www.ukbmd.org.uk/reg/districts/smallburgh.html
