parish,county,from_year,to_year,comments,district,source_url
Balsall,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Barston,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Berkswell,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Bickenhill,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Castle Bromwich,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Chelmsley Wood,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Fordbridge,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Hampton in Arden,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Hockley Heath,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Kingshurst,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Meriden,West Midlands,1978,2001,"See Table 2, notes (a) and (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
Smiths Wood,West Midlands,1987,2001,"Created 1.4.1987 out of the parishes of Castle Bromwich and 
    Kingshurst. See also Table 2, note (b).",Solihull North,http://www.ukbmd.org.uk/reg/districts/solihull%20north.html
