parish,county,from_year,to_year,comments,district,source_url
Avon Dassett,Warwickshire,1932,1985,"See Table 2, notes (a) and (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Bishop's Itchington,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Burton Dassett,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Chadshunt,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Chapel Ascote,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Chesterton & Kingston,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Farnborough,Warwickshire,1932,1985,"See Table 2, notes (a) and (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Fenny Compton,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Gaydon,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Harbury,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Hodnell,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Ladbroke,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Lighthorne,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Long Itchington,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Lower Radbourn,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Lower Shuckburgh,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Napton on the Hill,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Priors Hardwick,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Priors Marston,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Radway,Warwickshire,1932,1985,"See Table 2, notes (a) and (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Ratley & Upton,Warwickshire,1932,1985,"See Table 2, notes (a) and (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Shotteswell,Warwickshire,1932,1985,"See Table 2, notes (a) and (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Southam,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Stockton,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Stoneton,Northamptonshire,1837,1895,"Transferred from Northamptonshire to Warwickshire on 30.9.1895. 
    See also Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Ufton,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Upper Radbourn,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Upper Shuckburgh,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Warmington,Warwickshire,1932,1985,"See Table 2, notes (a) and (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Watergall,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Wills Pastures,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
Wormleighton,Warwickshire,1837,1985,"See Table 2, note (b).",Southam,http://www.ukbmd.org.uk/reg/districts/southam.html
