parish,county,from_year,to_year,comments,district,source_url
All Saints,Hampshire,1837,1912,Abolished 31.3.1912 and added to the parish of Southampton.,Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
Bitterne,Hampshire,1924,1925,"Abolished 1.4.1925 and added to the parish of Southampton. 
    See also Table 2, note (b).",Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
Holy Rood,Hampshire,1837,1912,Abolished 31.3.1912 and added to the parish of Southampton.,Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
Itchen,Hampshire,1924,1925,"Abolished 1.4.1925 and added to the parish of Southampton. 
    See also Table 2, note (b).",Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
Portswood,Hampshire,1909,1912,"Abolished 31.3.1912 and added to the parish of Southampton. 
    See also Table 2, note (a).",Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
Shirley,Hampshire,1909,1912,"Abolished 31.3.1912 and added to the parish of Southampton. 
    See also Table 2, note (a).",Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
Southampton,Hampshire,1912,1974,"Created 31.3.1912 from the parishes of St. Mary, Shirley, Portswood, 
    All Saints, St. Michael, Holy Rood, St. John, St. Lawrence. Abolished 1.4.1974 
    to become an unparished area. See also Table 2, notes (c), (d), (e) and (f).",Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
St. John,Hampshire,1837,1912,Abolished 31.3.1912 and added to the parish of Southampton.,Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
St. Lawrence,Hampshire,1837,1912,Abolished 31.3.1912 and added to the parish of Southampton.,Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
St. Mary,Hampshire,1837,1912,Abolished 31.3.1912 and added to the parish of Southampton.,Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
St. Michael,Hampshire,1837,1912,Abolished 31.3.1912 and added to the parish of Southampton.,Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
St. Nicholas,Hampshire,1924,1925,"Abolished 1.4.1925 and added to the parish of Southampton. 
    See also Table 2, note (b).",Southampton,http://www.ukbmd.org.uk/reg/districts/southampton.html
