parish,county,from_year,to_year,comments,district,source_url
Colan,Cornwall,1936,2007,"See Table 2, notes (b) and (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Crantock,Cornwall,1983,2007,"Created 1.4.1983 out of the Restormel unparished area. See also 
    Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Creed,Cornwall,1837,1983,"Abolished 1.4.1983 and divided between the parishes of Grampound with 
    Creed and St. Mewan.",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Fowey,Cornwall,1837,1974,"Abolished 1.4.1974 and added to the Restormel unparished 
    area.",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Fowey,Cornwall,1983,2007,"Created 1.4.1983 out of the Restormel unparished area. See also Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Grampound,Cornwall,1837,1983,"Abolished 1.4.1983 and added to the parish of Grampound with 
    Creed.",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Grampound with Creed,Cornwall,1983,2007,"Created 1.4.1983 from the parishes of Creed and Grampound. See 
    also Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Lanlivery,Cornwall,1974,2007,"Created 1.4.1974 by renaming the parish of Lanlivery. See also 
    Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Lanlivery Rural,Cornwall,1936,1974,"Renamed 1.4.1974 to become the parish of Lanlivery. See also Table 
    2, note (a).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Lostwithiel,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Luxulyan,Cornwall,1936,2007,"See Table 2, notes (a) and (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Mawgan in Pyder,Cornwall,1936,2007,"See Table 2, notes (b) and (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Mevagissey,Cornwall,1837,1934,Abolished 1.4.1934 and added to the parish of St. Austell.,St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Mevagissey,Cornwall,1983,2007,"Created 1.4.1983 out of the Restormel unparished area. See also Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Newquay,Cornwall,1936,1974,"Abolished 1.4.1974 and added to the Restormel unparished area. See also Table 
    2, note (b).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Newquay,Cornwall,1983,2007,"Created 1.4.1983 out of the Restormel unparished area. See also 
    Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Restormel*,Cornwall,1974,2007,"Unparished area which until 1.4.1974 formed the parishes of Fowey, 
    Newquay, St. Austell and Tywardreath. 
    See also Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
Roche,Cornwall,1837,2007,"See Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Austell,Cornwall,1837,1894,"Abolished 1894 and divided between the parishes of St. Austell 
    Urban and St. Austell Rural.",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Austell,Cornwall,1934,1974,"Created 1.4.1934 out of the parishes of St. Austell Urban, St. 
    Austell Rural, St. Blazey, Roche, St. Ewe, St. Mewan and St. Goran. 
    Abolished 1.4.1974 and added to the Restormel unparished area.",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Austell Rural,Cornwall,1894,1934,"Created 1894 from the rural part of the parish of St. Austell. 
    Abolished 1.4.1934 and added to the parish of St. Austell.",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Austell Urban,Cornwall,1894,1934,"Created 1894 from the part of the parish of St. Austell in St. 
    Austell Urban District. Abolished 1.4.1934 and added to the parish of St. 
    Austell.",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Blaise,Cornwall,1983,2007,"Created 1.4.1983 out of the Restormel unparished area. See also Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Blazey,Cornwall,1837,1934,Abolished 1.4.1934 and added to the parish of St. Austell.,St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Columb Major,Cornwall,1936,2007,"See Table 2, notes (b) and (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Dennis,Cornwall,1837,2007,"See Table 2, note (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
St. Enoder,Cornwall,1936,2007,"See Table 2, notes (b) and (c).",St Austell,http://www.ukbmd.org.uk/reg/districts/st%20austell.html
