parish,county,from_year,to_year,comments,district,source_url
Alstonefield,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Alton,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Bagnall,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Biddulph,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Blore with Swinscoe,Staffordshire,1974,2008,"See Table 2, notes (a), (c), (d) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Bradnop,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Brown Edge,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Butterton,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Caverswall,Staffordshire,1988,2008,"Created 1.4.1988 out of the parish of Caverswall & Werrington. See also 
    Table 2, note (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Caverswall & Werrington,Staffordshire,1974,1988,"Abolished 1.4.1988 and divided between the parishes of 
    Caverswall and Werrington. See also 
    Table 2, note (a).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Cheadle,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Checkley,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Cheddleton,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Consall,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Cotton,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Dilhorne,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Draycott in the Moors,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Endon & Stanley,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Farley,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Fawfieldhead,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Forsbrook,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Grindon,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Heathylee,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Heaton,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Hollinsclough,Staffordshire,1974,2008,"See Table 2, notes (b), (e), (f), (g), (h) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Horton,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Ilam,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Ipstones,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Kingsley,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Leek,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Leekfrith,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Longnor,Staffordshire,1974,2008,"See Table 2, notes (b), (e), (f) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Longsdon,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Oakamoor,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Onecote,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Quarnford,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Rushton,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Sheen,Staffordshire,1974,2008,"See Table 2, notes (b), (c), (d) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Tittesworth,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Warslow & Elkstones,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Waterhouses,Staffordshire,1974,2008,"See Table 2, notes (a) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Werrington,Staffordshire,1988,2008,"Created 1.4.1988 out of the parish of Caverswall & Werrington. See also 
    Table 2, note (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
Wetton,Staffordshire,1974,2008,"See Table 2, notes (b) and (i).",Staffordshire Moorlands,http://www.ukbmd.org.uk/reg/districts/staffordshire%20moorlands.html
