parish,county,from_year,to_year,comments,district,source_url
Addingham,Yorkshire West Riding,1947,1974,"See Table 2, notes (c) and (f).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Appletreewick,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Arncliffe,Yorkshire West Riding,1947,1974,"See Table 2, notes (b) and (e).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Bank Newton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Barden,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Barnoldswick,Yorkshire West Riding,1947,1974,"Abolished 1.4.1974 and added to the Pendle unparished area. 
    See also Table 2, notes (c) and (d).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Beamsley,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Bolton Abbey,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Bordley,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Bracewell,Yorkshire West Riding,1947,1974,"See Table 2, notes (c) and (d).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Bradleys Both,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Brogden,Yorkshire West Riding,1947,1974,"See Table 2, notes (c) and (d).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Broughton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Buckden,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Burnsall,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Calton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Carleton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Coniston Cold,Yorkshire West Riding,1947,1974,"See Table 2, notes (b) and (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Conistone with Kilnsey,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Cononley,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Cowling,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Cracoe,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Draughton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Earby,Yorkshire West Riding,1947,1974,"Abolished 1.4.1974 and added to the Pendle unparished area. 
    See also Table 2, notes (c) and (d).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Elslack,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Embsay with Eastby,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Eshton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Farnhill,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Flasby with Winterburn,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Gargrave,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Glusburn,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Grassington,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Halton East,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Halton Gill,Yorkshire West Riding,1947,1974,"See Table 2, note (b).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Hartlington,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Hawkswick,Yorkshire West Riding,1947,1974,"See Table 2, note (b).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Hazlewood with Storiths,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Hebden,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Hetton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Kettlewell with Starbotton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Kildwick,Yorkshire West Riding,1947,1974,"See Table 2, notes (c) and (f).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Linton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Litton,Yorkshire West Riding,1947,1974,"See Table 2, note (b).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Lothersdale,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Martons Both,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Rylstone,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Salterforth,Yorkshire West Riding,1947,1974,"See Table 2, notes (c) and (d).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Silsden,Yorkshire West Riding,1947,1974,"See Table 2, notes (c) and (f).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Skipton,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Steeton with Eastburn,Yorkshire West Riding,1947,1974,"See Table 2, notes (a) and (f).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Stirton with Thorlby,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Sutton,Yorkshire West Riding,1947,1974,"See Table 2, note (a).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Thornton in Craven,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Thorpe,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
Threshfield,Yorkshire West Riding,1947,1974,"See Table 2, note (c).",Staincliffe,http://www.ukbmd.org.uk/reg/districts/staincliffe.html
