parish,county,from_year,to_year,comments,district,source_url
Billingley,Yorkshire West Riding,1938,1946,"See Table 2, notes (a) and (b).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Cawthorne,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Cudworth,Yorkshire West Riding,1938,1974,"Abolished 1.4.1974 and added to the Bradford unparished 
    area. See also Table 2, notes (a) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Darfield,Yorkshire West Riding,1938,1974,"Abolished 1.4.1974 and added to the Bradford unparished 
    area. See also Table 2, notes (a) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Darton,Yorkshire West Riding,1938,1974,"Abolished 1.4.1974 and added to the Bradford unparished 
    area. See also Table 2, notes (a), (d), (h) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Dodworth,Yorkshire West Riding,1938,1974,"Abolished 1.4.1974 and added to the Bradford unparished 
    area. See also Table 2, notes (a) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Dunford,Yorkshire West Riding,1947,1974,"See Table 2, notes (d), (g) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Gunthwaite & Ingbirchworth,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
High Hoyland,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Hoyland Nether,Yorkshire West Riding,1938,1974,"Abolished 1.4.1974 and added to the Bradford unparished 
    area. See also Table 2, notes (a), (e) and (f).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Hunshelf,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Langsett,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Notton,Yorkshire West Riding,1938,1946,"See Table 2, notes (a) and (c).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Oxspring,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Penistone,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Royston,Yorkshire West Riding,1938,1974,"Abolished 1.4.1974 and added to the Bradford unparished 
    area. See also Table 2, notes (a) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Silkstone,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Stainborough,Yorkshire West Riding,1938,1974,"See Table 2, notes (a) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Thurgoland,Yorkshire West Riding,1947,1974,"See Table 2, notes (d) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Wombwell,Yorkshire West Riding,1938,1974,"Abolished 1.4.1974 and added to the Bradford unparished 
    area. See also Table 2, notes (a) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Woolley,Yorkshire West Riding,1938,1946,"See Table 2, notes (a) and (c).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
Worsbrough,Yorkshire West Riding,1938,1974,"Abolished 1.4.1974 and added to the Bradford unparished 
    area. See also Table 2, notes (a) and (i).",Staincross,http://www.ukbmd.org.uk/reg/districts/staincross.html
