parish,county,from_year,to_year,comments,district,source_url
Bosden,Cheshire,1878,1900,"Created 25.3.1878 out of the parish of Handforth cum Bosden. 
    Abolished 30.9.1900 and added to the parish of Hazel Grove & Bramhall.",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Bramhall,Cheshire,1837,1900,"Abolished 30.9.1900 and added to the parish of Hazel Grove 
    & Bramhall.",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Bredbury,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Bredbury 
    & Romiley and Marple.",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Bredbury & Romiley,Cheshire,1936,1937,"Created 1.4.1936 out of the parishes of Bredbury, Romiley, Compstall, 
    Hyde and Marple. See also Table 2, note (f).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Brinnington,Cheshire,1837,1902,Abolished 30.9.1902 and added to the parish of Bredbury.,Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Cheadle,Cheshire,1879,1930,"Created 29.9.1879 from the parishes of Cheadle Bulkeley and Cheadle 
    Moseley. Abolished 31.3.1930 and added to the parish of Cheadle & Gatley.",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Cheadle & Gatley,Cheshire,1930,1937,"Created 31.3.1930 from the parishes of Cheadle and Stockport Etchells. 
    See also Table 2, note (f).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Cheadle Bulkeley,Cheshire,1837,1879,Abolished 29.9.1879 and added to the parish of Cheadle.,Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Cheadle Moseley,Cheshire,1837,1879,Abolished 29.9.1879 and added to the parish of Cheadle.,Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Compstall,Cheshire,1897,1936,"Created 30.9.1897 by renaming the parish of Werneth. Abolished 
    1.4.1936 and divided between the parishes of Bredbury & Romiley and Hyde.",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Denton,Lancashire,1937,1937,"That part which until 1.4.1937 formed part of the parish 
    of Stockport. See also Table 2, note (g).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Dukinfield,Cheshire,1936,1937,"That part which until 1.4.1936 formed part of the parish 
    of Hyde. See also Table 2, note (e).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Godley,Cheshire,1923,1923,"Abolished 1.10.1923 and added to the parish of Hyde. See 
    also Table 2, note (c).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Handforth,Cheshire,1878,1936,"Created 25.3.1878 out of the parish of Handforth cum Bosden. 
    Abolished 1.4.1936 and divided between the parishes of Wilmslow and Cheadle & 
    Gatley. See also Table 2, note (e).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Handforth cum Bosden,Cheshire,1837,1878,"Abolished 25.3.1878 to become the separate parishes of Handforth 
    and Bosden.",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Hazel Grove & Bramhall,Cheshire,1900,1937,"Created 30.9.1900 from the parishes of Bramhall, Bosden, Norbury, 
    Offerton and Torkington. See also Table 2, note (f).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Heaton Norris,Lancashire,1837,1935,"Abolished 
    1.4.1935 and added to the Lancashire part of the parish of Stockport. See also Table 2, note (b).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Hyde,Cheshire,1837,1937,"See Table 2, note (e).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Marple,Cheshire,1837,1937,"See Table 2, note (f).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Newton,Cheshire,1923,1923,"Abolished 1.10.1923 and added to the parish of Hyde. See 
    also Table 2, note (c).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
No Man's Land,Cheshire,1837,1868,"Abolished 25.12.1868 and added to the parish of Beard, Thornsett, Ollersett & Whittle. 
    See also Table 2, note (a).",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Norbury,Cheshire,1837,1900,"Abolished 30.9.1900 and added to the parish of Hazel Grove 
    & Bramhall.",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Offerton,Cheshire,1837,1900,"Abolished 30.9.1900 and added to the parish of Hazel Grove 
    & Bramhall.",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
Reddish,Lancashire,1837,1935,"Abolished 
    1.4.1935 and added to the Lancashire part of the parish of Stockport",Stockport,http://www.ukbmd.org.uk/reg/districts/stockport.html
