parish,county,from_year,to_year,comments,district,source_url
Aislaby,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Billingham,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Bishop Middleham,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Bishopton,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Bradbury,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Brierton,Durham,1837,1859,"See Table 2, note (c).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Butterwick & Oldacres,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Castlelevington,Yorkshire North Riding,1837,1875,"See Table 2, note (e).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Carlton,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Chilton,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Claxton,Durham,1837,1859,"See Table 2, note (c).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Cornforth,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Cowpen Bewley,Durham,1837,1937,"Abolished 1.4.1937 and divided between the parishes of Billingham 
    and Newton Bewley.",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Dalton Piercy,Durham,1837,1859,"See Table 2, note (c).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
East & West Newbiggin,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
East Hartburn,Durham,1837,1913,"Abolished 9.11.1913 and divided between the parishes of Stockton-on-Tees 
    and Elton.",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Egglescliffe,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Elstob,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Elton,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Elwick,Durham,1837,1859,"See Table 2, note (c).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Elwick Hall,Durham,1837,1859,"See Table 2, note (c).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Embleton,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Ferryhill,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Fishburn,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Foxton & Shotton,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Garmondsway Moor,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Great Stainton,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Greatham,Durham,1837,1859,"See Table 2, note (c).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Grindon,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Hart,Durham,1837,1859,"See Table 2, note (c).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Hartlepool,Durham,1837,1859,"See Table 2, note (c).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
High Worsall,Yorkshire North Riding,1837,1875,"See Table 2, note (e).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Ingleby Barwick,Yorkshire North Riding,1837,1875,"See Table 2, note (d).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Kirklevington,Yorkshire North Riding,1837,1875,"See Table 2, note (e).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Linthorpe,Yorkshire North Riding,1837,1875,"See Table 2, note (d).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Little Stainton,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Longnewton,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Low Spennymoor,Durham,1894,1895,"Created 1894 from the part of the parish of Ferryhill in Spennymoor 
    Urban District. See also Table 2, note (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Low Worsall,Yorkshire North Riding,1837,1875,"See Table 2, note (e).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Mainsforth,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Maltby,Yorkshire North Riding,1837,1875,"See Table 2, note (d).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Middlesbrough,Yorkshire North Riding,1837,1875,"See Table 2, note (d).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Mordon,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Newsham,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Newton Bewley,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Norton,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Picton,Yorkshire North Riding,1845,1875,"See Table 2, notes (b) and (e).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Preston-le-Skerne,Durham,1838,1895,"See Table 2, notes (a) and (k).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Preston-on-Tees,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
Redmarshall,Durham,1837,1938,"See Table 2, note (l).",Stockton (to 1938),http://www.ukbmd.org.uk/reg/districts/stockton.html
