parish,county,from_year,to_year,comments,district,source_url
Adlestrop,Gloucestershire,1837,1937,"See Table 2, note (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Admington,Gloucestershire,1932,1935,"Transferred from Gloucestershire to Warwickshire on 1.4.1935. 
    See also Table 2, notes (c) and (d).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Aston Subedge,Gloucestershire,1932,1937,"See Table 2, notes (b) and (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Barrington,Gloucestershire,1935,1937,"Created 1.4.1935 out of the parishes of Great Barrington, Little 
    Barrington and Eastleach Turville. See also Table 2, note (e).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Batsford,Gloucestershire,1932,1937,"See Table 2, notes (c) and (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Bledington,Gloucestershire,1837,1937,"See Table 2, note (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Blockley,Gloucestershire,1932,1937,"See Table 2, notes (c) and (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Bourton on the Hill,Gloucestershire,1932,1937,"See Table 2, notes (c) and (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Bourton on the Water,Gloucestershire,1837,1937,"See Table 2, note (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Broadwell,Gloucestershire,1837,1937,"See Table 2, note (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Chipping Campden,Gloucestershire,1932,1937,"See Table 2, notes (c) and (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Church Icomb,Worcestershire,1837,1844,"Transferred from Worcestershire to Gloucestershire on 20.10.1844. 
    Abolished 1.4.1935 and added to the parish of Icomb.",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Clapton,Gloucestershire,1837,1937,"See Table 2, note (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Clopton,Gloucestershire,1932,1937,"See Table 2, note (c).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Condicote,Gloucestershire,1837,1937,"See Table 2, note (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Daylesworth,Worcestershire,1837,1931,"Transferred from Worcestershire to Gloucestershire on 1.4.1931. 
    Abolished 1.4.1935 and added to the parish of Adelstrop.",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Donnington,Gloucestershire,1837,1937,"See Table 2, note (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
Ebrington,Gloucestershire,1932,1937,"See Table 2, notes (c) and (f).",Stow on the Wold,http://www.ukbmd.org.uk/reg/districts/stow%20on%20the%20wold.html
