parish,county,from_year,to_year,comments,district,source_url
Barnard's Inn,London,1837,1843,"See Table 2, notes (a) and (b).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
Clifford's Inn,London,1838,1858,"See Table 2, notes (a) and (c).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
Inner Temple,London,1837,1843,"See Table 2, notes (a) and (b).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
Liberty of the Rolls,Middlesex,1837,1889,"See Table 2, notes (f) and (k).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
Middle Temple,London,1837,1901,"See Table 2, note (g).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
Precinct of the Savoy,Middlesex,1837,1889,"See Table 2, note (k).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
Serjeant's Inn Chancery Lane,London,1838,1858,"See Table 2, notes (a) and (c).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
St. Anne Within the Liberty of Westminster,Middlesex,1837,1868,"See Table 2, note (d).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
St. Clement Danes,Middlesex,1837,1889,"See Table 2, notes (f), (i), (j) and (k).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
St. Martin in the Fields,Middlesex,1868,1889,"See Table 2, notes (e), (i), (j), (h) and (c).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
St. Mary-le-Strand,Middlesex,1837,1889,"See Table 2, note (k).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
St. Paul Covent Garden,Middlesex,1837,1889,"See Table 2, note (k).",Strand (1837-1913),http://www.ukbmd.org.uk/reg/districts/strand.html
