parish,county,from_year,to_year,comments,district,source_url
Chalk,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Cliffe,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Cobham,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Cuxton,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Denton,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Frindsbury,Kent,1884,1894,"Abolished 30.9.1894 to become the separate parishes of Frindsbury 
    Intra and Frindsbury Extra. See also Table 2, notes (a) and (b).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Frindsbury Extra,Kent,1894,1923,"Created 30.9.1894 from the part of the parish of Frindsbury in 
    Rochester Municipal Borough. See also Table 2, note (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Frindsbury Intra,Kent,1894,1923,"Created 30.9.1894 from the rural part of the parish of Frindsbury. 
    See also Table 2, note (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Halling,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Higham,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Ifield,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Luddesdown,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Meopham,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Northfleet,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Nurstead,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Shorne,Kent,1884,1923,"See Table 2, notes (a) and (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Strood,Kent,1884,1894,"Abolished 30.9.1894 to become the separate parishes of Strood 
    Intra and Strood Extra. See also Table 2, note (a).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Strood Extra,Kent,1894,1923,"Created 30.9.1894 from the part of the parish of Strood in Rochester 
    Municipal Borough. See also Table 2, note (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
Strood Intra,Kent,1894,1923,"Created 30.9.1894 from the rural part of the parish of Strood. 
    See also Table 2, note (c).",Strood (1885-1923),http://www.ukbmd.org.uk/reg/districts/strood.html
