parish,county,from_year,to_year,comments,district,source_url
Allhallows,Kent,1923,1941,"See Table 2, notes (a) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Chalk,Kent,1923,1935,"Abolished 1.4.1935 and added to the parish of Gravesend. 
    See also Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Cliffe,Kent,1923,1941,"See Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Cobham,Kent,1923,1941,"See Table 2, notes (b), (c) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Cooling,Kent,1923,1941,"See Table 2, notes (a) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Cuxton,Kent,1923,1941,"See Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Denton,Kent,1923,1935,"Abolished 1.4.1935 and added to the parish of Gravesend. 
    See also Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Frindsbury Extra,Kent,1923,1941,"See Table 2, notes (b), (c) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Frindsbury Intra,Kent,1923,1934,"Abolished 1.4.1934 and added to the parish of Rochester. 
    See also Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Gravesend,Kent,1935,1941,"That part which until 1.4.1935 formed the parishes of Chalk 
    and Denton and parts of the parishes of Cobham, Ifield and Northfleet. See 
    also Table 2, note (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Halling,Kent,1923,1941,"See Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
High Halstow,Kent,1923,1941,"See Table 2, notes (a) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Higham,Kent,1923,1941,"See Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Hoo,Kent,1923,1941,"See Table 2, notes (a) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Ifield,Kent,1923,1935,"Abolished 1.4.1935 and divided between the parishes of Gravesend 
    and Cobham. See also Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Isle of Grain,Kent,1923,1941,"See Table 2, notes (a) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Luddesdown,Kent,1923,1941,"See Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Meopham,Kent,1923,1941,"See Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Northfleet,Kent,1923,1941,"See Table 2, notes (b), (c) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Nurstead,Kent,1923,1935,Abolished 1.4.1935 and added to the parish of Cobham.,Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Rochester,Kent,1934,1941,"That part which until 1.4.1934 formed the parishes of 
    Frindsbury Intra and Strood Intra and parts of the parishes of Frindsbury 
    Extra and Strood Extra. See also Table 2, note (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Shorne,Kent,1923,1941,"See Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
St. Mary Hoo,Kent,1923,1941,"See Table 2, notes (a) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Stoke,Kent,1923,1941,"See Table 2, notes (a) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Strood Extra,Kent,1923,1934,"Abolished 1.4.1934 and divided between the parishes of Rochester 
    and Cuxton. See also Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
Strood Intra,Kent,1923,1934,"Abolished 1.4.1934 and added to the parish of Rochester. 
    See also Table 2, notes (b) and (c).",Strood & Hoo,http://www.ukbmd.org.uk/reg/districts/strood%20and%20hoo.html
