parish,county,from_year,to_year,comments,district,source_url
Ashmore,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Batcombe,Dorset,1937,1974,"See Table 2, notes (b) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Beer Hackett,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Bellchalwell,Dorset,1837,1884,"Abolished 25.3.1885 and divided between the parishes of Okeford 
    Fitzpaine and Fifehead Neville.",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Bishop's Caundle,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Bourton,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Bradford Abbas,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Buckhorn Weston,Dorset,1937,1974,"See Table 2, notes (c), (e), (f) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Cann,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Castleton,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Caundle Marsh,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Chetnole,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Child Okeford,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Clifton Maybank,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Compton Abbas,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
East Orchard,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
East Stour,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Fifehead Magdalen,Dorset,1837,1974,"See Table 2, notes (f) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Fifehead Neville,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Folke,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Fontmell Magna,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Gillingham,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Glanvilles Wootton,Dorset,1937,1974,"See Table 2, notes (b) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Goathill,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Hammoon,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Hanford,Dorset,1862,1974,"See Table 2, notes (a) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Haydon,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Hazelbury Bryan,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Hermitage,Dorset,1937,1974,"See Table 2, notes (b) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Hilfield,Dorset,1937,1974,"See Table 2, notes (b) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Hinton St. Mary,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Holnest,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Holwell,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Ibberton,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Iwerne Minster,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Kington Magna,Dorset,1937,1974,"See Table 2, notes (c), (e), (f) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Leigh,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Leweston,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Lillington,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Long Burton,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Lydlinch,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Manston,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Mappowder,Dorset,1937,1974,"See Table 2, notes (b) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Margaret Marsh,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Marnhull,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Melbury Abbas,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Melbury Bubb,Dorset,1937,1974,"See Table 2, notes (b) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Motcombe,Dorset,1937,1974,"See Table 2, notes (c) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Nether Compton,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
North Wootton,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Oborne,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Okeford Fitzpaine,Dorset,1837,1974,"See Table 2, note (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Over Compton,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Poyntington,Dorset,1937,1974,"See Table 2, notes (d) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
Pulham,Dorset,1937,1974,"See Table 2, notes (b) and (g).",Sturminster (to 1958),http://www.ukbmd.org.uk/reg/districts/sturminster.html
