parish,county,from_year,to_year,comments,district,source_url
Barnes,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Richmond 
    upon Thames. See also Table 2, notes (a), (b), (c) and (f).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Chessington,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Kingston 
    upon Thames. See also Table 2, notes (a) and (e).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Cobham,Surrey,1948,1965,"See Table 2, notes (a) and (g).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Coombe,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Kingston 
    upon Thames. See also Table 2, notes (a) and (e).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
East Molesey,Surrey,1948,1965,"See Table 2, notes (a) and (g).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Esher,Surrey,1948,1965,"See Table 2, notes (a), (d) and (g).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Ham,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Richmond 
    upon Thames. See also Table 2, notes (a) and (f).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Hook,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Kingston 
    upon Thames. See also Table 2, notes (a) and (e).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Kew,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Richmond 
    upon Thames. See also Table 2, notes (a) and (f).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Kingston upon Thames,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Kingston 
    upon Thames. See also Table 2, notes (a) and (e).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Long Ditton,Surrey,1948,1965,"See Table 2, notes (a) and (g).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Malden,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Kingston 
    upon Thames. See also Table 2, notes (a) and (e).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Mortlake,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Richmond 
    upon Thames. See also Table 2, notes (a) and (f).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
New Malden,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Kingston 
    upon Thames. See also Table 2, notes (a) and (e).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
North Sheen,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Richmond 
    upon Thames. See also Table 2, notes (a) and (f).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Petersham,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Richmond 
    upon Thames. See also Table 2, notes (a) and (f).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Richmond,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Richmond 
    upon Thames. See also Table 2, notes (a) and (f).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Stoke D'Abernon,Surrey,1948,1965,"See Table 2, notes (a) and (g).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Surbiton,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Kingston 
    upon Thames. See also Table 2, notes (a) and (e).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Thames Ditton,Surrey,1948,1965,"See Table 2, notes (a) and (g).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
Tolworth,Surrey,1948,1965,"Abolished 1.4.1965 and added to the London borough of Kingston 
    upon Thames. See also Table 2, notes (a) and (e).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
West Molesey,Surrey,1948,1965,"See Table 2, notes (a) and (g).",Surrey Northern (1965 onw),http://www.ukbmd.org.uk/reg/districts/surrey%20northern.html
