parish,county,from_year,to_year,comments,district,source_url
Albury,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Alfold,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Artington,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Ash,Surrey,1955,1996,"Created 1.4.1955 out of the parish of Ash & Normandy. See also 
    Table 2, note (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Ash & Normandy,Surrey,1934,1955,"Abolished 1.4.1955 to become the separate parishes of Normandy 
    and Ash. See also Table 2, note (c).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Bramley,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Busbridge,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Chiddingfold,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Compton,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Cranleigh,Surrey,1934,1996,"See Table 2, notes (d) and (e).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Dockenfield,Surrey,1934,1996,"See Table 2, notes (a) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Dunsfold,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
East Clandon,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
East Horsley,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Effingham,Surrey,1934,1996,"See Table 2, notes (b) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Elstead,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Ewhurst,Surrey,1934,1996,"See Table 2, notes (b), (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Farnham,Surrey,1934,1974,"Abolished 1.4.1974 to become the Waverley unparished area. See also Table 
    2, note (c).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Farnham,Surrey,1984,1996,"Created 1.4.1984 from the Waverley unparished area. See also Table 2, note 
    (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Frensham,Surrey,1934,1996,"See Table 2, notes (c) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Godalming,Surrey,1934,1996,"See Table 2, notes (d), (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Guildford,Surrey,1934,1974,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, notes (d) and (e).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Guildford*,Surrey,1974,1996,"Unparished area which until 1.4.1974 formed the parish of Guildford. See also Table 2, note 
    (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Hambledon,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Hascombe,Surrey,1934,1996,"See Table 2, notes (d), (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Haslemere,Surrey,1934,1996,"See Table 2, notes (c), (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Hindhead & Churt,Surrey,1934,1974,Abolished 1.4.1974 and added to the parish of Haslemere.,Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Normandy,Surrey,1955,1996,"Created 1.4.1955 out of the parish of Ash & Normandy. See also 
    Table 2, note (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Ockham,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Peper Harow,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Pirbright,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Puttenham,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Ripley,Surrey,1934,1996,"See Table 2, notes (a), (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Seal,Surrey,1934,1963,"Renamed 1.4.1963 to become the parish of Seale & Tongham. See 
    also Table 2, note (c).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Seale & Sands,Surrey,1984,1996,"Created 1.4.1984 out of the parish of Seale & Tongham. See also Table 
    2, note (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Seale & Tongham,Surrey,1963,1984,"Created 30.7.1963 by renaming the parish of Seal. Abolished 
    1.4.1984 and divided between the parishes of Seale & Sands and Tongham.",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Send,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Shackleford,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Shalford,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Shere,Surrey,1934,1996,"See Table 2, notes (d) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
St. Martha,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Thursley,Surrey,1934,1996,"See Table 2, notes (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
Tilford,Surrey,1934,1996,"See Table 2, notes (c), (e) and (f).",Surrey South Western,http://www.ukbmd.org.uk/reg/districts/surrey%20south%20western.html
