parish,county,from_year,to_year,comments,district,source_url
Badlesmere,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Bapchild,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Bobbing,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Borden,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Boughton under Blean,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Bredgar,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Buckland,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Doddington,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Dunkirk,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Eastchurch,Kent,1983,1998,"Created 1.4.1983 out of the Swale unparished area. See also 
    Table 2, note (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Eastling,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Faversham,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Faversham Without,Kent,1980,1983,"Abolished 1.4.1983 and divided between the parishes of Graveney 
    with Goodnestone and Boughton under Blean. See also Table 2, note (b).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Goodnestone,Kent,1980,1983,"Abolished 1.4.1983 and added to the parish of Graveney with 
    Goodnestone. See also Table 2, note (b).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Graveney,Kent,1980,1983,"Abolished 1.4.1983 and added to the parish of Graveney with 
    Goodnestone. See also Table 2, note (b).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Graveney with Goodnestone,Kent,1983,1998,"Created 1.4.1983 from the parishes of Goodnestone and Graveney and parts of the parishes of Boughton under Blean and Faversham Without. See 
    also Table 2, note (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Hartlip,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Hernhill,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Iwade,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Kingsdown,Kent,1980,1983,"Abolished 1.4.1983 and added to the parish of Milstead & 
    Kingsdown. See also Table 2, note (b).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Leaveland,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Leysdown,Kent,1983,1998,"Created 1.4.1983 out of the Swale unparished area. See also 
    Table 2, note (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Lower Halstow,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Luddenham,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Lynsted,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Milstead,Kent,1980,1983,"Abolished 1.4.1983 and divided between the parishes of Milstead 
    & Kingsdown and Tunstall.",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Milstead & Kingsdown,Kent,1983,1998,"Created 1.4.1983 out of the Swale unparished area and parts of the parishes of Kingsdown, 
    Lynsted, Milstead, 
     
    Rodmersham, Tonge and Tunstall. See also Table 2, note (b).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Newington,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Newnham,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Norton,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Oare,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Ospringe,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Queenborough,Kent,1983,1998,"Created 1.4.1983 out of the Swale unparished area. See also 
    Table 2, note (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Rodmersham,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Selling,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Sheldwich,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Stalisfield,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Stone,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Swale*,Kent,1980,1998,"Unparished areas of the towns of Milton, Queenborough and 
    Sittingbourne. See also Table 2, notes (a), (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Teynham,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Throwley,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Tonge,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Tunstall,Kent,1980,1998,"See Table 2, notes (b) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Upchurch,Kent,1980,1998,"See Table 2, notes (b), (c) and (d).",Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
Warden,Kent,1983,1998,Created 1.4.1983 out of the Swale unparished area.,Swale,http://www.ukbmd.org.uk/reg/districts/swale.html
