parish,county,from_year,to_year,comments,district,source_url
Ashton Keynes,Wiltshire,1936,1997,"See Table 2, notes (c) and (d).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Bishopstone,Wiltshire,1899,,"See Table 2, note (a).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Blunsdon,Wiltshire,2017,,Created 1.4.2017 out of the parish of Blundson St. Andrew.,Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Blunsdon St. Andrew,Wiltshire,1899,2017,"Abolished 1.4.2017 and divided between the parishes of Blunsdon 
    and St. Andrews. See also Table 2, notes (a) and (c).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Braydon,Wiltshire,1936,1997,"See Table 2, notes (c) and (d).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Broad Town,Wiltshire,1936,1997,"See Table 2, notes (c) and (d).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Castle Eaton,Wiltshire,1899,,"See Table 2, note (a).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Central Swindon North,Wiltshire,2017,,Created 1.4.2017 out of the Swindon unparished area.,Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Central Swindon South,Wiltshire,2017,2023,"Created 1.4.2017 out of the Swindon unparished area and the 
    parish of Chiseldon. Renamed 1.1.2024 to become the parish of South Swindon.",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Chiseldon,Wiltshire,1899,,"See Table 2, note (a).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Clyffe Pypard,Wiltshire,1936,1997,"See Table 2, notes (c) and (d).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Covingham,Wiltshire,1983,,"Created 1.4.1983 out of the parishes of Stratton St. Margaret 
    and Wanborough.",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Cricklade,Wiltshire,1936,1997,"See Table 2, notes (c) and (d).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Hannington,Wiltshire,1899,,"See Table 2, note (a).",Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
Haydon Wick,Wiltshire,1928,,Created 1.10.1928 out of the parish of Rodbourne Cheney.,Swindon,http://www.ukbmd.org.uk/reg/districts/swindon.html
