parish,county,from_year,to_year,comments,district,source_url
Amington & Stonydelph,Warwickshire,1837,1932,"See Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Austrey,Warwickshire,1837,1932,"See Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Bolehall & Glascote,Warwickshire,1837,1932,"See Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Canwell,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of Hints.,Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Chilcote,Derbyshire,1837,1895,"See Table 2, note (a).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Clifton Campville,Staffordshire,1837,1939,"See Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Croxall,Derbyshire,1837,1895,"On 30.9.1895 the part in Derbyshire was transferred to Staffordshire, so that thereafter Croxall was 
    entirely in Staffordshire. 
    Abolished 1.4.1934 and added to the parish of Edingale.",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Drayton Bassett,Staffordshire,1837,1939,"On 30.9.1895 the  part in Warwickshire was transferred to Staffordshire, so that thereafter Drayton Bassett was wholly 
    in Staffordshire. See also Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Edingale,Staffordshire,1837,1939,"See Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Fazeley,Staffordshire,1837,1939,"See Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Harlaston,Staffordshire,1837,1939,"See Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Hints,Staffordshire,1837,1939,"See Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Hopwas Hays,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of Wigginton.,Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Kingsbury,Warwickshire,1837,1932,"See Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Middleton,Warwickshire,1837,1932,"See Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Newton Regis,Warwickshire,1837,1932,"See Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
No Mans Heath,Warwickshire,1837,1888,Abolished 24.3.1888 and added to the parish of Newton Regis.,Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Seckington,Warwickshire,1837,1932,"See Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Shuttington,Warwickshire,1837,1932,"See Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Statfold,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of Thorpe Constantine.,Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Sutton Coldfield,Warwickshire,1912,1932,"See Table 2, notes (b) and (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Syerscote,Staffordshire,1837,1934,Abolished 1.4.1934 and added to the parish of Thorpe Constantine.,Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Tamworth,Staffordshire,1837,1889,"In 1889 the part in Warwickshire was transferred to Staffordshire, so that thereafter Tamworth was 
    entirely in Staffordshire. 
    See also Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Tamworth Castle,Warwickshire,1837,1894,"Abolished 1894 and divided between the parishes of Wilnecote & 
    Castle Liberty, Tamworth and Bolehill & Glascote.",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Thorpe Constantine,Staffordshire,1837,1939,"See Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Wiggington,Staffordshire,1837,1939,"See Table 2, note (d).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Wilnecote,Warwickshire,1837,1894,"Abolished 1894 and added to the parish of Wilnecote & Castle 
    Liberty.",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
Wilnecote & Castle Liberty,Warwickshire,1837,1932,"Created 1894 out of the parishes of Wilnecote and Tamworth Castle. 
    See also Table 2, note (c).",Tamworth,http://www.ukbmd.org.uk/reg/districts/tamworth.html
