parish,county,from_year,to_year,comments,district,source_url
Bere Ferrers,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Bradstone,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Brentor,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Buckland Monachorum,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Calstock,Cornwall,1860,1936,"See Table 2, notes (a) and (d).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Coryton,Devon,1837,1997,"See Table 2, notes (c) and (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Dartmoor Forest,Devon,1987,1997,"Created 1.4.1987 out of the parishes of Lydford and 
    Walkhampton. See also Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Dunterton,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Gulworthy,Devon,1987,1997,"Created 1.4.1987 out of the parish of Tavistock Hamlets. See 
    also Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Horrabridge,Devon,1950,1997,"Created 1.10.1950 out of the parishes of Whitchurch, Buckland 
    Monachorum, Sampford Spiney and Walkhampton. See also Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Kelly,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Lamerton,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Lewtrenchard,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Lifton,Devon,1837,1997,"See Table 2, notes (b) and (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Lydford,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Marystow,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Mary Tavy,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Meavy,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Milton Abbot,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Peter Tavy,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Sampford Spiney,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Sheepstor,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Stowford,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Sydenham Damerel,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Tavistock,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Tavistock Hamlets,Devon,1898,1997,"Created 1.4.1898 from the rural part of the parish of 
    Tavistock. See also Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Thrushelton,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Walkhampton,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
Whitchurch,Devon,1837,1997,"See Table 2, note (e).",Tavistock,http://www.ukbmd.org.uk/reg/districts/tavistock.html
