parish,county,from_year,to_year,comments,district,source_url
Adwell,Oxfordshire,1837,1932,"See Table 2, note (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Albury,Oxfordshire,1837,1932,"Abolished 1.4.1932 and added to the parish of Tiddington 
    with Albury.",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Ascott,Oxfordshire,1837,1932,"Abolished 1.4.1932 and added to the parish of Stadhampton. 
    See also Table 2, note (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Aston Rowant,Oxfordshire,1837,1932,"See Table 2, note (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Attington,Oxfordshire,1837,1932,Abolished 1.4.1932 and added to the parish of Tetsworth.,Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Boarstall,Buckinghamshire,1905,1932,"See Table 2, notes (f) and (g).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Brill,Buckinghamshire,1837,1932,"See Table 2, notes (c) and (g).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Chalgrove,Oxfordshire,1837,1932,"See Table 2, note (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Chilton,Buckinghamshire,1837,1932,"See Table 2, note (g).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Chilworth,Oxfordshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Great Milton 
    and Wheatley. See also Table 2, note (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Chinnor,Oxfordshire,1897,1932,"See Table 2, notes (e) and (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Crowell,Oxfordshire,1837,1932,"See Table 2, note (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Dorton,Buckinghamshire,1837,1932,"See Table 2, note (g).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Easington,Oxfordshire,1837,1932,"Abolished 1.4.1932 and added to the parish of Cuxham with 
    Easington. See also Table 2, note (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Emmington,Oxfordshire,1837,1932,Abolished 1.4.1932 and added to the parish of Chinnor.,Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
Great Haseley,Oxfordshire,1837,1932,"See Table 2, note (h).",Thame,http://www.ukbmd.org.uk/reg/districts/thame.html
