parish,county,from_year,to_year,comments,district,source_url
Acol,Kent,1998,2003,"See Table 2, notes (b) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Alkham,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Ash,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Aylesham,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Broadstairs & St. Peters,Kent,1998,2003,"See Table 2, notes (b) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Capel-le-Ferne,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Deal,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Denton with Wootton,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Dover,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Eastry,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Eythorne,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Goodnestone,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Great Mongeham,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Guston,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Hougham Without,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Langdon,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Lydden,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Manston,Kent,1998,2003,"See Table 2, notes (b) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Minster,Kent,1998,2003,"See Table 2, notes (b) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Monkton,Kent,1998,2003,"See Table 2, notes (b) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Nonington,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Northbourne,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Preston,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Ringwould & Kingsdown,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
Ripple,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
River,Kent,1998,2003,"See Table 2, notes (a) and (c).",Thanet with Dover,http://www.ukbmd.org.uk/reg/districts/thanet%20with%20dover.html
