parish,county,from_year,to_year,comments,district,source_url
Ampton,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Bardwell,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Barrow,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Bradfield Combust,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Bradfield St. Clare,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Bradfield St. George,Suffolk,1837,1889,"See Table 2, notes (b) and (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Brockley,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Chedburgh,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Chevington,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Chimney Mills,Suffolk,1837,1889,Abolished 1.10.1897 and added to the parish of Culford.,Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Culford,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Denham,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Depden,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Flempton,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Fornham All Saints,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Fornham St. Genevieve,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Fornham St. Martin,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Great Barton,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Great Livermere,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
Great Saxham,Suffolk,1837,1889,"See Table 2, note (c).",Thingoe,http://www.ukbmd.org.uk/reg/districts/thingoe.html
