parish,county,from_year,to_year,comments,district,source_url
Aldwincle,Northamptonshire,1885,1974,"Created 23.3.1885 from the parishes of Aldwinkle St. Peter and 
    Aldwinkle All Saints. See also Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Aldwinkle All Saints,Northamptonshire,1837,1885,Abolished 25.3.1885 and added to the parish of Aldwincle.,Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Aldwinkle St. Peter,Northamptonshire,1837,1885,Abolished 25.3.1885 and added to the parish of Aldwincle.,Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Brigstock,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Brington,Huntingdonshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Brington & 
    Molesworth.",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Brington & Molesworth,Huntingdonshire,1935,1936,"Created 1.4.1935 from the separate parishes of Molesworth and 
    Brington. See also Table 2, note (a).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Bythorn,Huntingdonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Bythorn & Keyston.,Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Bythorn & Keyston,Huntingdonshire,1935,1936,"Created 1.4.1935 from the separate parishes of Bythorn and Keyston. 
    See also Table 2, note (a).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Chelveston cum Caldecott,Northamptonshire,1837,1936,"See Table 2, note (d).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Clopton,Northamptonshire,1837,1974,"See Table 2, notes (e), (f) and (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Covington,Huntingdonshire,1837,1936,"See Table 2, note (c).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Denford,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Great Addington,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Hargrave,Northamptonshire,1837,1936,"See Table 2, note (d).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Islip,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Keyston,Huntingdonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Bythorn & Keyston.,Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Little Addington,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Lowick,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Molesworth,Huntingdonshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Brington & 
    Molesworth.",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Old Weston,Huntingdonshire,1837,1936,"See Table 2, note (a).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Pilton,Northamptonshire,1936,1974,"See Table 2, notes (b) and (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Raunds,Northamptonshire,1837,1936,"See Table 2, note (d).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Ringstead,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Slipton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Lowick.,Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Stanwick,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Raunds.,Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Sudborough,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Thorpe Achurch,Northamptonshire,1936,1974,"See Table 2, notes (b) and (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Thrapston,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Titchmarsh,Northamptonshire,1837,1974,"See Table 2, notes (f) and (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Twywell,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Wadenhoe,Northamptonshire,1936,1974,"See Table 2, notes (b) and (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
Woodford,Northamptonshire,1837,1974,"See Table 2, note (g).",Thrapston,http://www.ukbmd.org.uk/reg/districts/thrapston.html
