parish,county,from_year,to_year,comments,district,source_url
Abbots Bickington,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Abbotsham,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Alverdiscott,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Alwington,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Ashreigney,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Ashwater,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Beaford,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Bideford,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Black Torrington,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Bradford,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Bradworthy,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Bridgerule,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Broadwoodwidger,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Buckland Brewer,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Buckland Filleigh,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Bulkworthy,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Clawton,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Clovelly,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Cookbury,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Dolton,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Dowland,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
East Putford,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Frithelstock,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Great Torrington,Devon,1998,2007,"See Table 2, notes (a) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
Halwill,Devon,1998,2007,"See Table 2, notes (b) and (c).",Torridge,http://www.ukbmd.org.uk/reg/districts/torridge.html
