parish,county,from_year,to_year,comments,district,source_url
Abthorpe,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Adstone,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Ashton,Northamptonshire,1935,1936,"See Table 2, notes (a) and (b).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Blakesley,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Blisworth,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Bradden,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Cold Higham,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Cosgrove,Northamptonshire,1935,2001,"See Table 2, notes (a) and (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Deanshanger,Northamptonshire,1948,2001,"Created 11.11.1948 by renaming the parish of Passenham. See also 
    Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Easton Neston,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Furtho,Northamptonshire,1935,1951,"Abolished 1.4.1951 and divided between the parishes of Cosgrove, 
    Old Stratford and Potterspury. See also Table 2, note (a).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Gayton,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Grafton Regis,Northamptonshire,1935,2001,"See Table 2, notes (a) and (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Greens Norton,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Hartwell,Northamptonshire,1935,1936,"See Table 2, notes (a) and (b).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Litchborough,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Maidford,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Old Stratford,Northamptonshire,1951,2001,"Created 1.4.1951 out of the parishes of Deanshanger, Furtho and 
    Cosgrove. See also Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Passenham,Northamptonshire,1935,1948,"Renamed 11.11.1948 to become the parish of Deanshanger. See also 
    Table 2, note (a).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Pattishall,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Paulerspury,Northamptonshire,1935,2001,"See Table 2, notes (a) and (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Plumpton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Weston & Weedon.,Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Potterspury,Northamptonshire,1935,2001,"See Table 2, notes (a) and (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Shutlanger,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Silverstone,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Slapton,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Stoke Bruerne,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Tiffield,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Towcester,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Wappenham,Northamptonshire,1837,2001,"See Table 2, notes (d), (c) and (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Weedon Lois,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Weston & Weedon.,Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Weston & Weedon,Northamptonshire,1935,2001,"Created 1.4.1935 out of the parishes of Weedon Lois and Plumpton. 
    See also Table 2, notes (d), (c) and (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Whittlebury,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Wicken,Northamptonshire,1935,2001,"See Table 2, notes (a) and (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Woodend,Northamptonshire,1837,2001,"See Table 2, note (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
Yardley Gobion,Northamptonshire,1935,2001,"See Table 2, notes (a) and (e).",Towcester,http://www.ukbmd.org.uk/reg/districts/towcester.html
