parish,county,from_year,to_year,comments,district,source_url
Buxted,Sussex,1837,1889,"See Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Crowborough,East Sussex,1905,1999,"Created 1.4.1905 out of the parish of Rotherfield. See also Table 
    2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Danehill,East Sussex,1898,1999,"Created 1.4.1898 out of the parishes of Fletching and Horsted 
    Keynes. See also Table 2, notes (a) and (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
East Grinstead,East Sussex,1935,1974,"See Table 2, notes (b) and (e).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
East Hoathly,Sussex,1837,1889,"See Table 2, note (c).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Fletching,Sussex,1837,1889,"See Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Forest Row,East Sussex,1935,1999,"See Table 2, notes (b) and (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Framfield,Sussex,1837,1889,"See Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Frant,East Sussex,1935,1999,"See Table 2, notes (d) and (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Hadlow Down,East Sussex,1905,1999,"Created 1.10.1905 out of the parishes of Mayfield and Buxted. 
    See also Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Hartfield,East Sussex,1935,1999,"See Table 2, notes (b) and (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Isfield,Sussex,1837,1889,"See Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Little Horsted,Sussex,1837,1889,"See Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Maresfield,Sussex,1837,1889,"See Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Mayfield,Sussex,1837,1889,"Renamed 1.4.1999 to become the parish of Mayfield & Five 
    Ashes.",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Mayfield & Five Ashes,East Sussex,1999,1999,"Created 1.4.1999 by renaming the parish of Mayfield. See also Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Rotherfield,Sussex,1837,1889,"See Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Uckfield,Sussex,1837,1889,"See Table 2, note (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Wadhurst,East Sussex,1935,1999,"See Table 2, notes (d) and (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Waldron,Sussex,1837,1889,"See Table 2, note (c).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
Withyham,East Sussex,1935,1999,"See Table 2, notes (b) and (f).",Uckfield,http://www.ukbmd.org.uk/reg/districts/uckfield.html
