parish,county,from_year,to_year,comments,district,source_url
Clayton West,Yorkshire West Riding,1947,1974,"Abolished 1.4.1974 and added to the parish of Denby Dale. 
    See also Table 2, notes (c) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Colne Valley,Yorkshire West Riding,1939,1974,"Abolished 1.4.1974 and added to the Kirklees unparished area. See also Table 
    2, notes (a) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Cumberworth,Yorkshire West Riding,1939,1974,"See Table 2, notes (a) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Denby,Yorkshire West Riding,1947,1974,"Abolished 1.4.1974 and added to the parish of Denby Dale. 
    See also Table 2, notes (c) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Dunford,Yorkshire West Riding,1939,1946,"See Table 2, notes (a) and (d).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Emley,Yorkshire West Riding,1947,1974,"Abolished 1.4.1974 and added to the parish of Denby Dale. 
    See also Table 2, notes (b) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Flockton,Yorkshire West Riding,1947,1974,"See Table 2, notes (b) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Holmfirth,Yorkshire West Riding,1939,1974,"See Table 2, notes (a) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Kirkburton,Yorkshire West Riding,1939,1974,"See Table 2, notes (a) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Meltham,Yorkshire West Riding,1939,1974,"See Table 2, notes (a) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
Skelmanthorpe,Yorkshire West Riding,1939,1974,"Abolished 1.4.1974 and added to the parish of Denby Dale. 
    See also Table 2, notes (a) and (e).",Upper Agbrigg,http://www.ukbmd.org.uk/reg/districts/upper%20agbrigg.html
