parish,county,from_year,to_year,comments,district,source_url
Arkesden,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Ashdon,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Aythorpe Roding,Essex,1974,2010,"See Table 2, notes (a) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Barnston,Essex,1974,2010,"See Table 2, notes (a) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Berden,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Birchanger,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Broxted,Essex,1974,2010,"See Table 2, notes (a) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Chickney,Essex,1974,2010,"See Table 2, notes (a) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Chrishall,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Clavering,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Debden,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Elmdon,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Elsenham,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Farnham,Essex,1974,2010,"See Table 2, notes (b) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
Felsted,Essex,1974,2010,"See Table 2, notes (a) and (c).",Uttlesford,http://www.ukbmd.org.uk/reg/districts/uttlesford.html
