parish,county,from_year,to_year,comments,district,source_url
Aldworth,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Ardington,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Ashbury,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Baulking,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Beedon,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Blewbury,Berkshire,1837,1937,"See Table 2, note (c).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Bourton,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Brightwalton,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Buckland,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Buscot,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Catmore,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Chaddleworth,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Charlton,Berkshire,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Wantage, 
    Grove and Lockinge.",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Charney Bassett,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Childrey,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Chilton,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Coleshill,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Compton,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Compton Beauchamp,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Denchworth,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
East Challow,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
East Hanney,Berkshire,1837,1974,"See Table 2, note (a).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
East Hendred,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
East Ilsley,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
East Lockinge,Berkshire,1837,1934,Abolished 1.4.1934 and added to the parish of Lockinge.,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Eaton Hastings,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Farnborough,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Fawley,Berkshire,1837,1974,"See Table 2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Fernham,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Goosey,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Great Coxwell,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Great Faringdon,Berkshire,1937,1974,"See Table 2, note (b).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Grove,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Hampstead Norreys,Berkshire,1969,1974,"Created 1.4.1969 out of the parish of Hampstead Norris. See also Table 
    2, note (f).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Hampstead Norris,Berkshire,1837,1969,"Abolished 1.4.1969 and divided between the parishes of Hampstead Norreys and Bucklebury. See also Table 2, notes (d) and (e).",Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
Harwell,Berkshire,1837,1974,,Wantage,http://www.ukbmd.org.uk/reg/districts/wantage.html
