parish,county,from_year,to_year,comments,district,source_url
Affpuddle,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Arne,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Bere Regis,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Bloxworth,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Chaldon Herring,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Church Knowle,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Coombe Keynes,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Corfe Castle,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
East Holme,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
East Lulworth,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
East Stoke,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Holy Trinity,Dorset,1837,1894,"Abolished 1894 and divided between the parishes of Arne and Lady 
    St. Mary.",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Kimmeridge,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Langton Matravers,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Morden,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Moreton,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Steeple,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Studland,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Swanage,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Turners Puddle,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Tyneham,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Wareham Lady St. Mary,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Wareham St. Martin,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
West Lulworth,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Winfrith Newburgh,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Wool,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
Worth Matravers,Dorset,1837,1937,"See Table 2, note (a).",Wareham,http://www.ukbmd.org.uk/reg/districts/wareham.html
