parish,county,from_year,to_year,comments,district,source_url
Bishopstrow,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Boyton,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Bratton,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Brixton Deverill,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Bulkington,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Chapmanslade,Wiltshire,1934,2008,"Created 1.4.1934 out of the parishes of Corsley, Dilton Marsh and Upton Scudamore. See also Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Chitterne,Wiltshire,1907,2008,"Created 1.4.1907 from the parishes of Chitterne All Saints and 
    Chitterne St. Mary. See also Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Chitterne All Saints,Wiltshire,1837,1907,Abolished 1.4.1907 and added to the parish of Chitterne.,Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Chitterne St. Mary,Wiltshire,1837,1907,Abolished 1.4.1907 and added to the parish of Chitterne.,Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Codford,Wiltshire,1934,2008,"Created 1.4.1934 out of the parishes of Codford St. Peter and 
    Codford St. Mary. See also Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Codford St. Mary,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Codfford.,Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Codford St. Peter,Wiltshire,1837,1934,Abolished 1.4.1934 and added to the parish of Codfford.,Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Corsley,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Coulston,Wiltshire,1977,2008,"Created 16.2.1977 by renaming the parish of East Coulston. See 
    also Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Dilton Marsh,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
East Coulston,Wiltshire,1936,1977,"Renamed 16.2.1977 to become the parish of Coulston. See also Table 
    2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Edington,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Great Hinton,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Heytesbury,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Heywood,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Hill Deverill,Wiltshire,1837,1934,"Abolished 1.4.1934 and added to the parish of Longbridge 
    Deverill. See also Table 2, note (b).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Horningsham,Wiltshire,1837,2008,"See Table 2, notes (b) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Imber,Wiltshire,1837,1991,Abolished 1.4.1991 and added to the parish of Heytesbury.,Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Keevil,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Kingston Deverill,Wiltshire,1936,2008,"See Table 2, notes (c) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Knook,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Longbridge Deverill,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
North Bradley,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Norton Bavant,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Sherrington,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Southwick,Wiltshire,1936,2008,"See Table 2, notes (d) and (f).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Steeple Ashton,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Stockton,Wiltshire,1837,2008,"See Table 2, notes (e) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Sutton Veney,Wiltshire,1837,2008,"See Table 2, notes (b) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Upton Lovell,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Upton Scudamore,Wiltshire,1837,2008,"See Table 2, notes (a) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Warminster,Wiltshire,1837,2008,"See Table 2, note (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
West Ashton,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
Westbury,Wiltshire,1936,2008,"See Table 2, notes (d) and (g).",Warminster,http://www.ukbmd.org.uk/reg/districts/warminster.html
