parish,county,from_year,to_year,comments,district,source_url
Abbots Langley,Hertfordshire,1837,2008,"See Table 2, notes (f), (g), (h), (j) and (n).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Aldenham,Hertfordshire,1837,2008,"See Table 2, notes (e), (h), (i) and (n).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Bushey,Hertfordshire,1837,1894,"Abolished 1894 to become the separate parishes of Bushey Urban 
    and Bushey Rural.",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Bushey,Hertfordshire,1906,1974,"Created 1.4.1906 by renaming the parish of Bushey Rural. Abolished 
    1.4.1974 and added to the Hertsmere unparished area.",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Bushey Rural,Hertfordshire,1894,1906,"Created 1894 from the rural part of the parish of Bushey. Renamed 
    1.4.1906 to become the parish of Bushey.",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Bushey Urban,Hertfordshire,1894,1906,"Created 1894 from the part of the parish of Bushey in Watford 
    Urban District. Renamed 1.4.1906 to become the parish of Oxhey.",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Chalfont St. Peter,Buckinghamshire,1907,1908,"That part which until 1.4.1907 formed part of the parish of Rickmansworth Rural. 
    See also Table 2, note (a).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Chorleywood,Hertfordshire,1898,2008,"Created 15.4.1898 out of the parish of Rickmansworth. See also 
    Table 2, notes (b) and (n).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Croxley Green,Hertfordshire,1986,2008,"Created 1.4.1986 out of the Three Rivers unparished area and 
    part of the parish of Sarratt. See also Table 2, note (n).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Denham,Buckinghamshire,1907,1908,"That part which until 1.4.1907 formed part of the parish of Rickmansworth Rural. 
    See also Table 2, note (c).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Elstree,Hertfordshire,1935,1939,"That part which until 1.4.1935 formed part of the parish of 
    Aldenham. See also Table 2, note (e).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Elstree & Borehamwood,Hertfordshire,1996,2008,"See Table 2, notes (m) and (n).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Gerrards Cross,Buckinghamshire,1907,1908,"That part which until 1.4.1907 formed part of the parish of Rickmansworth Rural. 
    See also Table 2, note (c).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Hemel Hempstead,Hertfordshire,1935,1939,"That part which until 1.4.1935 formed part of the parish of 
    Abbots Langley. See also Table 2, note (e).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Hertsmere*,Hertfordshire,1974,2008,"That part of the unparished area which until 1.4.1974 formed the parish of Bushey. See also Table 2, notes 
    (l), (k) and (n).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
King's Langley,Hertfordshire,1935,1939,"That part which until 1.4.1935 formed part of the parish of 
    Abbots Langley. See also Table 2, note (e).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Oxhey,Hertfordshire,1906,1935,"Created 1.4.1906 by renaming the parish of Bushey Urban. Abolished 
    1.4.1935 and added to the parish of Watford.",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Potters Bar,Hertfordshire,1996,2008,"Unparished area which until 1.4.1974 formed the urban district 
    of Potters Bar and the parish of South Mimms. See also Table 2, notes (m) and 
    (n).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Rickmansworth,Hertfordshire,1837,1898,"Abolished 15.4.1898 and divided between the parishes of Rickmansworth 
    Urban, Rickmansworth Rural and Chorleywood.",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
Rickmansworth Rural,Hertfordshire,1898,1935,"Created 15.4.1898 out of the parish of Rickmansworth. Abolished 
    1.4.1935 and divided between the parishes of Rickmansworth Urban and Sarratt. 
    See also Table 2, notes (a), (c) and (d).",Watford,http://www.ukbmd.org.uk/reg/districts/watford.html
