parish,county,from_year,to_year,comments,district,source_url
Ashbrittle,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Bathealton,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Bradford,Somerset,1837,1936,"See Table 2, notes (a) and (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Burlescombe,Devon,1837,1936,"See Table 2, notes (c) and (f).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Chipstable,Somerset,1837,1936,"See Table 2, notes (b) and (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Clayhidon,Devon,1837,1936,"See Table 2, note (f).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Culmstock,Devon,1837,1936,"See Table 2, note (f).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Fitzhead,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Hemyock,Devon,1837,1936,"See Table 2, note (f).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Hillfarrance,Somerset,1837,1884,"Abolished 25.3.1884 and divided between the parishes of Oake, Nynehead and Milverton. See also Table 2, note (a).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Holcombe Rogus,Devon,1837,1936,"See Table 2, note (f).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Kittisford,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Stawley.,Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Langford Budville,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Milverton,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Nynehead,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Oake,Somerset,1837,1936,"See Table 2, notes (d) and (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Raddington,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Chipstable.,Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Runnington,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Langford Budville.,Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Sampford Arundel,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Stawley,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Thorne St. Margaret,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Wellington,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Wellington Without,Somerset,1933,1936,"Created 1.4.1933 out of the parish of Wellington. See also Table 
    2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
West Buckland,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Wiveliscombe,Somerset,1837,1936,"See Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
Wiveliscombe Without,Somerset,1894,1936,"Created 1894 from the rural part of the parish of Wiveliscombe. 
    See also Table 2, note (e).",Wellington Som,http://www.ukbmd.org.uk/reg/districts/wellington1.html
