parish,county,from_year,to_year,comments,district,source_url
Ashford,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Bethersden,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Charing,Kent,1837,1941,"See Table 2, notes (b) and (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Egerton,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Great Chart,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Hothfield,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Kingsnorth,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Little Chart,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Pluckley,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Shadoxhurst,Kent,1837,1941,"See Table 2, notes (a) and (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Smarden,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Stalisfield,Kent,1935,1941,"That part which until 1.4.1935 formed part of the parish of 
    Charing. See also Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
Westwell,Kent,1837,1941,"See Table 2, note (b).",West Ashford,http://www.ukbmd.org.uk/reg/districts/west%20ashford.html
