parish,county,from_year,to_year,comments,district,source_url
Beaworthy,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Belstone,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Bere Ferrers,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Bondleigh,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Bradstone,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Bratton Clovelly,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Brentor,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Bridestowe,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Broadwoodkelly,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Buckland Monachorum,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Chagford,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Coryton,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Dartmoor Forest,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Drewsteignton,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Dunterton,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Exbourne,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Germansweek,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Gidleigh,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Gulworthy,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Hatherleigh,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Highampton,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Horrabridge,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Iddesleigh,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Inwardleigh,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Jacobstowe,Devon,1997,2007,"See Table 2, notes (a) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Kelly,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Lamerton,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Lewtrenchard,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Lifton,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Lydford,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Mary Tavy,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
Marystow,Devon,1997,2007,"See Table 2, notes (b) and (c).",West Devon,http://www.ukbmd.org.uk/reg/districts/west%20devon.html
