parish,county,from_year,to_year,comments,district,source_url
Barnard's Inn,London,1843,1869,"See Table 2, notes (b) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
Bridewell,London,1838,1869,"See Table 2, notes (a) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
Inner Temple,London,1843,1869,"See Table 2, notes (b) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
Serjeant's Inn Fleet Street,London,1838,1869,"See Table 2, notes (a) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
St. Andrew Holborn Below the Bars,London,1838,1869,"See Table 2, notes (a) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
St. Bartholomew the Great,London,1838,1869,"See Table 2, notes (a) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
St. Bartholomew the Less,London,1838,1869,"See Table 2, notes (a) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
St. Bride,London,1838,1869,"See Table 2, notes (a) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
St. Dunstan in the West,London,1838,1869,"See Table 2, notes (a), (d) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
St. Sepulchre,Middlesex,1838,1845,"See Table 2, notes (a) and (c).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
St. Sepulchre Without Newgate,London,1838,1869,"See Table 2, notes (a) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
Thavies' Inn,London,1838,1869,"See Table 2, notes (a) and (e).",West London,http://www.ukbmd.org.uk/reg/districts/west%20london.html
