parish,county,from_year,to_year,comments,district,source_url
Bicknoller,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Brompton Ralph,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Brompton Regis,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Brushford,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Carhampton,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Clatworthy,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Crowcombe,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Cutcombe,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Dulverton,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Dunster,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
East Quantoxhead,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Elworthy,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Exford,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Exmoor,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Exton,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Holford,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Huish Champflower,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Kilve,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Luccombe,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Luxborough,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Minehead,Somerset,1983,2007,"Created 1.4.1983 from the West Somerset unparished area. See also 
    Table 2, note (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Minehead Without,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Monksilver,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Nettlecombe,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Oare,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Old Cleeve,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Porlock,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Sampford Brett,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Selworthy,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Skilgate,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Stogumber,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Stogursey,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Stringston,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Timberscombe,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Treborough,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Upton,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Watchet,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
West Quantoxhead,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
West Somerset*,Somerset,1974,1983,"Unparished area which until 1.4.1974 formed the parish of Minehead. Abolished 1.4.1983 to become the parish of Minehead. See 
    also Table 2, note (a).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Williton,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Winsford,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Withycombe,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Withypool,Somerset,1974,1992,"Renamed 1.6.1992 to become the parish of Withypool & 
    Hawkridge. See also Table 2, note (a).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Withypool & Hawkridge,Somerset,1992,2007,"Created 1.6.1992 by renaming the parish of Withhypool. See 
    also Table 2, note (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
Wootton Courtenay,Somerset,1974,2007,"See Table 2, notes (a) and (b).",West Somerset,http://www.ukbmd.org.uk/reg/districts/west%20somerset.html
