parish,county,from_year,to_year,comments,district,source_url
Aldingbourne,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Appledram,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Barnham,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Bersted,Sussex,1870,1889,"See Table 2, notes (b) and (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Binderton,Sussex,1837,1889,"Abolished 1.4.1933 and added to the parish of West Dean. 
    See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Binsted,Sussex,1837,1889,"Abolished 1.4.1933 and added to the parish of Tortington. 
    See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Birdham,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Bognor,West Sussex,1894,1935,"Created 1894 from the part of the parish of South Bersted in Bognor 
    Urban District. See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Bosham,West Sussex,1933,1935,"That part which until 1.4.1933 formed part of the parish of 
    New Fishbourne. See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Boxgrove,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Chichester,West Sussex,1896,1896,"That part which until 26.3.1896 formed the parishes of 
    Porthfield and Rumboldswyke. See also Table 2, note (d).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Chichester,West Sussex,1933,1935,"That part which until 1.4.1933 formed parts of the parishes of 
    Donnington and New Fishbourne. See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Donnington,Sussex,1837,1889,"See Table 2, notes (e), (f) and (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Earnley,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Eartham,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
East Dean,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
East Lavant,Sussex,1837,1873,Abolished 29.9.1873 and added to the parish of Lavant.,Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
East Wittering,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Eastergate,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Felpham,Sussex,1837,1889,"Abolished 1.4.1933 and added to the parish of Bognor Regis, 
    Middleton on Sea and Yapton.",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Funtington,West Sussex,1933,1935,"That part which until 1.4.1933 formed part of the parish of 
    West Stoke. See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Graffham,Sussex,1837,1869,"See Table 2, note (c).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Hunston,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Lavant,Sussex,1873,1889,"Created 29.9.1873 out of the parishes of East Lavant and Mid 
    Lavant. See also Table 2, note (f)",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Madehurst,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Merston,Sussex,1837,1889,Abolished 1.4.1933 and added to the parish of Oving.,Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Mid Lavant,Sussex,1837,1873,Abolished 29.9.1873 and added to the parish of Lavant.,Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Middleton on Sea,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
New Fishbourne,Sussex,1837,1889,"Abolished 1.4.1933 and divided between the parishes of Chichester, 
    Bosham and Funtington. See also Table 2, notes (e), (f) and (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
North Mundham,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Oving,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Pagham,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Porthfield,West Sussex,1894,1896,"Created 1894 from the part of the parish of Oving in Chichester 
    Municipal Borough. Abolished 26.3.1896 and added to the parish of Chichester. 
    See also Table 2, note (d).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Rumboldswyke,Sussex,1837,1889,"Abolished 26.3.1896 and added to the parish of Chichester. 
    See also Table 2, note (d).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Selsey,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Sidlesham,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Singleton,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Slindon,Sussex,1858,1889,"See Table 2, notes (a) and (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
St. Pancras Rural,West Sussex,1894,1896,"Created 1894 from the rural part of the parish of St. Pancras. 
    Abolished 26.3.1896 and added to the parish of Donnington.",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Sub Deanery Rural,West Sussex,1894,1896,"Created 1894 from the rural part of the parish of St. Peter the 
    Great. Abolished 26.3.1896 and added to the parish of New Fishbourne.",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Tangmere,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Tortington,West Sussex,1933,1935,"That part which until 1.4.1933 formed part of the parish of 
    Binstd. See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Upwaltham,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Walberton,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
West Dean,West Sussex,1933,1935,"That part which until 1.4.1933 formed part of the parish of 
    Binderton. See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
West Itchenor,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
West Stoke,Sussex,1837,1889,"Abolished 1.4.1933 and added to the parish of Funtington. 
    See also Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
West Wittering,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Westhampnett,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
Yapton,Sussex,1837,1889,"See Table 2, note (f).",Westhampnett,http://www.ukbmd.org.uk/reg/districts/westhampnett.html
