parish,county,from_year,to_year,comments,district,source_url
Abbots Leigh,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Axbridge,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Backwell,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Badgworth,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Banwell,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Barrow Gurney,Somerset,1936,1974,"See Table 2, notes (b) and (e).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Berrow,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Bishopsworth,Somerset,1936,1951,"Abolished 1.4.1951 and divided between the parishes of Bristol, 
    Long Ashton and Dundry. See also Table 2, notes (b) and (c).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Blagdon,Somerset,1936,1974,"See Table 2, notes (a) and (f)",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Bleadon,Somerset,1936,1974,"See Table 2, notes (a) and (j).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Brean,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Brent Knoll,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Brockley,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Burnham on Sea,Somerset,1936,1974,"Renamed 1.4.1974 to become the parish of Burnham on Sea & 
    Highbridge. See also Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Burnham Without,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Burrington,Somerset,1936,1974,"See Table 2, notes (a) and (f)",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Butcombe,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Chapel Allerton,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Cheddar,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Churchill,Somerset,1936,1974,"See Table 2, notes (a) and (k).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Clapton,Somerset,1936,1954,"Abolished 1.4.1954 and added to the parish of Clapton-in-Gordano. See also Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Clapton-in-Gordano,Somerset,1954,1974,Created 1.4.1954 out of the parishes of Clapton and Portbury.,Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Cleeve,Somerset,1949,1974,Created 1.4.1949 out of the parish of Yatton.,Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Clevedon,Somerset,1936,1974,"See Table 2, notes (b) and (d).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Compton Bishop,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Congresbury,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Dundry,Somerset,1936,1974,"See Table 2, notes (b), (c) and (e).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
East Brent,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Easton-in-Gordano,Somerset,1936,1974,"See Table 2, notes (b), (c) and (d).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Flax Bourton,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Hutton,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Kenn,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Kewstoke,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Kingston Seymour,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Locking,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Long Ashton,Somerset,1936,1974,"See Table 2, notes (b) and (c).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Loxton,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Lympsham,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Mark,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Nailsea,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
North Weston,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Portbury,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Portishead,Somerset,1936,1974,"See Table 2, notes (b) and (d).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Puxton,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Shipham,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Steep Holme Island,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Tickenham,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Walton-in-Gordano,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Weare,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Wedmore,Somerset,1936,1974,"See Table 2, notes (a) and (g).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Weston-in-Gordano,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Weston-super-Mare,Somerset,1936,1974,"Abolished 1.4.1974 to become the Woodspring unparished area. See 
    also Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Wick St. Lawrence,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Winford,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Winscombe,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Wraxall,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Wrington,Somerset,1936,1974,"See Table 2, note (a).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
Yatton,Somerset,1936,1974,"See Table 2, note (b).",Weston super Mare (1936-1996),http://www.ukbmd.org.uk/reg/districts/weston%20super%20mare.html
